Feature;Filter Size;Filter Bit;PCA;SVM Kernel;SVM C;Acc
MTCD-BSIF;17x17;7;0,8;linear;1;99,531 ± 0,4
MTCD-BSIF;17x17;7;N/A;linear;1;99,531 ± 0,4
MTCD-BSIF;17x17;7;N/A;rbf;10;99,479 ± 0,376
MTCD-BSIF;17x17;7;N/A;rbf;100;99,479 ± 0,376
MTCD-BSIF;17x17;9;0,6;linear;100;99,479 ± 0,376
MTCD-BSIF;17x17;9;0,8;linear;100;99,479 ± 0,376
MTCD-BSIF;17x17;9;N/A;poly;10;99,427 ± 0,271
MTCD-BSIF;17x17;9;0,6;linear;10;99,427 ± 0,4
MTCD-BSIF;17x17;9;0,8;linear;10;99,375 ± 0,442
MTCD-BSIF;17x17;9;N/A;rbf;10;99,375 ± 0,295
MTCD-BSIF;17x17;9;0,6;linear;1;99,375 ± 0,295
MTCD-BSIF;17x17;9;0,8;linear;1;99,375 ± 0,295
MTCD-BSIF;17x17;9;N/A;rbf;100;99,375 ± 0,295
MTCD-BSIF;17x17;9;N/A;poly;100;99,323 ± 0,372
MTCD-BSIF;17x17;9;N/A;poly;1;99,323 ± 0,372
MTCD-BSIF;17x17;9;N/A;linear;1;99,271 ± 0,477
MTCD-BSIF;17x17;9;N/A;linear;10;99,271 ± 0,477
MTCD-BSIF;17x17;9;N/A;linear;100;99,271 ± 0,477
MTCD-BSIF;17x17;7;0,6;linear;1;99,271 ± 0,429
MTCD-BSIF;17x17;7;N/A;poly;1;99,271 ± 0,233
MTCD-BSIF;17x17;7;N/A;poly;10;99,271 ± 0,233
MTCD-BSIF;17x17;7;0,6;linear;10;99,219 ± 0,451
MTCD-BSIF;17x17;7;N/A;poly;100;99,219 ± 0,451
MTCD-BSIF;17x17;7;0,6;linear;100;99,219 ± 0,426
MTCD-BSIF;17x17;6;N/A;linear;1;99,219 ± 0,426
MTCD-BSIF;17x17;6;0,6;linear;1;99,219 ± 0,426
MTCD-BSIF;17x17;7;0,8;linear;100;99,167 ± 0,442
MTCD-BSIF;17x17;7;0,8;linear;10;99,167 ± 0,531
MTCD-BSIF;17x17;7;N/A;linear;10;99,167 ± 0,295
MTCD-BSIF;17x17;7;N/A;linear;100;99,167 ± 0,295
MTCD-BSIF;17x17;6;0,6;linear;10;99,167 ± 0,39
MTCD-BSIF;17x17;6;0,6;linear;100;99,115 ± 0,518
MTCD-BSIF;17x17;6;N/A;linear;100;99,115 ± 0,451
MTCD-BSIF;17x17;6;N/A;linear;10;99,115 ± 0,451
MTCD-BSIF;17x17;10;N/A;poly;10;99,115 ± 0,475
MTCD-BSIF;17x17;10;N/A;poly;100;99,115 ± 0,451
MTCD-BSIF;17x17;10;N/A;poly;1;99,115 ± 0,4
MTCD-BSIF;17x17;7;0,6;rbf;100;99,115 ± 0,4
MTCD-BSIF;17x17;7;0,6;rbf;10;99,115 ± 0,4
MTCD-BSIF;17x17;6;0,8;linear;1;99,115 ± 0,475
MTCD-BSIF;17x17;7;0,4;linear;100;99,115 ± 0,475
MTCD-BSIF;17x17;7;0,4;linear;10;99,062 ± 0,521
MTCD-BSIF;17x17;6;0,4;linear;1;99,062 ± 0,521
MTCD-BSIF;17x17;12;N/A;poly;100;99,062 ± 0,454
MTCD-BSIF;17x17;12;N/A;poly;10;99,062 ± 0,454
MTCD-BSIF;17x17;12;N/A;poly;1;99,062 ± 0,561
MTCD-BSIF;17x17;10;0,8;linear;10;99,062 ± 0,561
MTCD-BSIF;17x17;10;0,8;linear;1;99,062 ± 0,477
MTCD-BSIF;17x17;10;N/A;linear;1;99,062 ± 0,477
MTCD-BSIF;17x17;10;N/A;rbf;100;99,01 ± 0,539
MTCD-BSIF;17x17;10;0,8;linear;100;99,01 ± 0,539
MTCD-BSIF;17x17;10;N/A;linear;100;99,01 ± 0,475
MTCD-BSIF;17x17;10;0,6;linear;10;99,01 ± 0,372
MTCD-BSIF;17x17;10;0,6;linear;1;99,01 ± 0,372
MTCD-BSIF;17x17;10;N/A;linear;10;99,01 ± 0,497
MTCD-BSIF;17x17;10;N/A;rbf;10;99,01 ± 0,497
MTCD-BSIF;17x17;10;0,6;linear;100;99,01 ± 0,497
MTCD-BSIF;17x17;7;0,8;rbf;10;99,01 ± 0,497
MTCD-BSIF;17x17;7;0,8;rbf;100;99,01 ± 0,4
MTCD-BSIF;17x17;6;N/A;poly;1;99,01 ± 0,4
MTCD-BSIF;17x17;6;0,8;linear;100;99,01 ± 0,4
MTCD-BSIF;17x17;6;0,8;linear;10;99,01 ± 0,426
MTCD-BSIF;17x17;6;N/A;poly;100;99,01 ± 0,451
MTCD-BSIF;17x17;6;N/A;poly;10;99,01 ± 0,451
MTCD-BSIF;17x17;7;0,4;linear;1;99,01 ± 0,308
MTCD-BSIF;17x17;6;0,4;linear;100;99,01 ± 0,308
MTCD-BSIF;17x17;6;0,4;linear;10;99,01 ± 0,308
MTCD-BSIF;17x17;12;0,6;linear;1;98,958 ± 0,642
MTCD-BSIF;17x17;12;N/A;linear;10;98,958 ± 0,589
MTCD-BSIF;17x17;12;0,6;linear;100;98,958 ± 0,589
MTCD-BSIF;17x17;12;0,6;linear;10;98,958 ± 0,329
MTCD-BSIF;17x17;12;N/A;linear;100;98,958 ± 0,466
MTCD-BSIF;17x17;12;N/A;linear;1;98,958 ± 0,466
MTCD-BSIF;17x17;12;0,8;linear;10;98,958 ± 0,329
MTCD-BSIF;17x17;12;0,8;linear;1;98,958 ± 0,39
