Feature;Filter Size;Filter Bit;PCA;SVM Kernel;SVM C;Acc
BSIF;17x17;12;N/A;rbf;1;98,646 ± 0,938
BSIF;17x17;12;0,8;linear;1;98,646 ± 0,8
BSIF;17x17;12;0,6;linear;10;98,646 ± 0,865
BSIF;17x17;12;0,6;linear;100;98,646 ± 0,865
BSIF;15x15;10;0,4;linear;1;98,646 ± 0,561
BSIF;17x17;7;0,6;linear;1;98,646 ± 0,376
BSIF;17x17;12;N/A;linear;1;98,594 ± 0,838
BSIF;15x15;10;0,4;rbf;1;98,594 ± 0,539
BSIF;17x17;8;0,6;rbf;10;98,542 ± 0,208
BSIF;17x17;8;0,6;rbf;100;98,542 ± 0,208
BSIF;17x17;7;0,8;rbf;10;98,542 ± 0,208
BSIF;17x17;7;0,8;rbf;100;98,542 ± 0,208
BSIF;17x17;7;N/A;linear;100;98,542 ± 0,531
BSIF;17x17;7;N/A;linear;10;98,542 ± 0,531
BSIF;15x15;7;N/A;rbf;100;98,542 ± 0,625
BSIF;15x15;7;N/A;rbf;10;98,542 ± 0,625
BSIF;17x17;12;0,6;linear;1;98,49 ± 0,936
BSIF;17x17;7;N/A;rbf;10;98,49 ± 0,271
BSIF;17x17;7;N/A;rbf;100;98,49 ± 0,271
BSIF;17x17;12;0,4;rbf;1;98,438 ± 0,994
BSIF;17x17;9;0,4;linear;10;98,438 ± 0,616
BSIF;17x17;9;0,4;linear;100;98,438 ± 0,616
BSIF;17x17;9;0,4;linear;1;98,438 ± 0,699
BSIF;15x15;7;0,8;rbf;10;98,438 ± 0,561
BSIF;15x15;7;0,8;rbf;100;98,438 ± 0,561
BSIF;17x17;12;N/A;poly;100;98,385 ± 0,697
BSIF;17x17;12;N/A;poly;1;98,385 ± 0,697
BSIF;17x17;12;N/A;poly;10;98,385 ± 0,697
BSIF;15x15;8;N/A;rbf;100;98,385 ± 0,426
BSIF;15x15;8;N/A;rbf;10;98,385 ± 0,426
BSIF;15x15;10;0,4;linear;100;98,385 ± 0,518
BSIF;15x15;10;0,4;linear;10;98,385 ± 0,518
BSIF;17x17;7;0,6;rbf;10;98,385 ± 0,4
BSIF;17x17;7;0,6;rbf;100;98,385 ± 0,4
BSIF;17x17;7;0,8;linear;100;98,385 ± 0,578
BSIF;17x17;7;0,8;linear;10;98,385 ± 0,578
BSIF;17x17;8;N/A;poly;1;98,385 ± 0,308
BSIF;17x17;8;N/A;poly;100;98,385 ± 0,308
BSIF;17x17;8;N/A;poly;10;98,385 ± 0,308
BSIF;15x15;7;0,6;rbf;100;98,385 ± 0,648
BSIF;15x15;7;0,6;rbf;10;98,385 ± 0,648
BSIF;17x17;12;0,4;linear;1;98,333 ± 1,031
BSIF;17x17;12;0,4;linear;10;98,333 ± 0,846
BSIF;17x17;12;0,4;linear;100;98,333 ± 0,846
BSIF;17x17;10;0,2;linear;1;98,333 ± 0,39
BSIF;15x15;9;0,8;rbf;1;98,333 ± 0,489
BSIF;15x15;8;0,8;rbf;10;98,281 ± 0,342
BSIF;15x15;8;0,8;rbf;100;98,281 ± 0,342
BSIF;17x17;10;0,2;rbf;1;98,281 ± 0,596
BSIF;17x17;9;0,4;rbf;1;98,281 ± 0,864
BSIF;17x17;8;N/A;linear;1;98,281 ± 0,4
BSIF;17x17;8;N/A;rbf;1;98,281 ± 0,271
BSIF;15x15;11;0,8;rbf;100;98,281 ± 0,539
BSIF;15x15;11;0,8;rbf;10;98,281 ± 0,539
BSIF;17x17;7;N/A;poly;10;98,229 ± 0,561
BSIF;17x17;7;N/A;poly;100;98,229 ± 0,561
BSIF;17x17;7;N/A;poly;1;98,229 ± 0,561
BSIF;17x17;10;0,2;rbf;100;98,229 ± 0,561
BSIF;17x17;10;0,2;rbf;10;98,229 ± 0,561
BSIF;15x15;11;N/A;linear;100;98,229 ± 0,786
BSIF;15x15;11;N/A;linear;10;98,229 ± 0,786
BSIF;15x15;9;N/A;rbf;1;98,229 ± 0,561
BSIF;15x15;9;N/A;rbf;100;98,177 ± 0,539
BSIF;15x15;9;N/A;rbf;10;98,177 ± 0,539
BSIF;17x17;8;0,8;linear;1;98,177 ± 0,451
BSIF;15x15;11;N/A;rbf;10;98,177 ± 0,559
BSIF;15x15;11;N/A;rbf;100;98,177 ± 0,559
BSIF;17x17;7;0,6;linear;10;98,177 ± 0,451
BSIF;17x17;7;0,6;linear;100;98,177 ± 0,451
BSIF;15x15;9;0,6;rbf;1;98,177 ± 0,559
BSIF;15x15;11;0,8;linear;10;98,177 ± 0,771
BSIF;15x15;11;0,8;linear;100;98,177 ± 0,771
BSIF;17x17;8;0,8;rbf;1;98,177 ± 0,09
BSIF;17x17;7;0,4;rbf;1;98,177 ± 0,4
BSIF;15x15;8;0,6;rbf;100;98,125 ± 0,489
BSIF;15x15;8;0,6;rbf;10;98,125 ± 0,489
BSIF;15x15;11;N/A;linear;1;98,125 ± 0,51
BSIF;15x15;11;0,6;rbf;10;98,125 ± 0,51
BSIF;15x15;11;0,6;rbf;100;98,125 ± 0,51
BSIF;15x15;9;0,8;rbf;100;98,125 ± 0,39
BSIF;15x15;9;0,8;rbf;10;98,125 ± 0,39
BSIF;17x17;8;0,4;rbf;10;98,125 ± 0,255
BSIF;17x17;8;0,4;rbf;100;98,125 ± 0,255
BSIF;15x15;11;0,8;linear;1;98,073 ± 0,475
BSIF;17x17;8;0,6;rbf;1;98,073 ± 0,173
BSIF;15x15;7;N/A;rbf;1;98,073 ± 0,727
BSIF;17x17;8;0,6;linear;1;98,073 ± 0,372
BSIF;15x15;7;0,8;rbf;1;98,073 ± 0,913
BSIF;17x17;6;0,8;rbf;1;98,021 ± 0,454
BSIF;15x15;7;N/A;linear;1;98,021 ± 0,84
BSIF;17x17;6;0,6;rbf;1;97,969 ± 0,4
BSIF;15x15;11;0,8;rbf;1;97,969 ± 0,559
BSIF;15x15;11;0,6;rbf;1;97,969 ± 0,559
BSIF;15x15;9;0,6;rbf;10;97,969 ± 0,308
BSIF;15x15;9;0,6;rbf;100;97,969 ± 0,308
BSIF;15x15;11;0,6;linear;1;97,969 ± 0,518
BSIF;15x15;7;N/A;linear;100;97,969 ± 0,785
BSIF;15x15;7;N/A;linear;10;97,969 ± 0,785
BSIF;17x17;6;N/A;rbf;1;97,917 ± 0,78
BSIF;15x15;8;N/A;linear;100;97,917 ± 0,295
BSIF;15x15;8;N/A;linear;10;97,917 ± 0,295
BSIF;17x17;7;0,4;linear;1;97,917 ± 0,675
BSIF;15x15;7;0,8;linear;1;97,917 ± 0,82
BSIF;15x15;11;N/A;rbf;1;97,865 ± 0,614
BSIF;15x15;8;0,8;rbf;1;97,812 ± 0,634
BSIF;15x15;8;N/A;rbf;1;97,812 ± 0,8
BSIF;15x15;8;0,8;linear;1;97,812 ± 0,454
BSIF;15x15;8;N/A;linear;1;97,812 ± 0,376
BSIF;15x15;8;0,8;linear;10;97,812 ± 0,429
BSIF;15x15;8;0,8;linear;100;97,812 ± 0,429
BSIF;17x17;6;N/A;rbf;10;97,812 ± 0,561
BSIF;17x17;6;N/A;rbf;100;97,812 ± 0,561
BSIF;17x17;6;0,8;rbf;10;97,812 ± 0,312
BSIF;17x17;6;0,8;rbf;100;97,812 ± 0,312
BSIF;15x15;9;0,4;rbf;1;97,812 ± 0,786
BSIF;15x15;7;0,6;linear;1;97,812 ± 0,865
BSIF;15x15;7;0,8;linear;10;97,812 ± 0,758
BSIF;15x15;7;0,8;linear;100;97,812 ± 0,758
BSIF;15x15;7;0,6;rbf;1;97,812 ± 0,902
BSIF;15x15;9;N/A;linear;1;97,76 ± 0,681
BSIF;15x15;9;0,4;rbf;10;97,76 ± 0,4
BSIF;15x15;9;0,4;rbf;100;97,76 ± 0,4
BSIF;15x15;12;0,8;linear;1;97,76 ± 1,476
BSIF;15x15;12;N/A;linear;10;97,76 ± 1,27
BSIF;15x15;12;N/A;linear;100;97,76 ± 1,27
BSIF;15x15;9;0,8;linear;1;97,708 ± 0,642
BSIF;17x17;10;0,2;linear;10;97,708 ± 0,966
BSIF;15x15;7;0,4;rbf;10;97,708 ± 0,489
BSIF;15x15;7;0,4;rbf;100;97,708 ± 0,489
BSIF;15x15;11;0,6;linear;100;97,708 ± 0,82
BSIF;15x15;11;0,6;linear;10;97,708 ± 0,82
BSIF;17x17;7;0,4;rbf;100;97,708 ± 0,642
BSIF;17x17;7;0,4;rbf;10;97,708 ± 0,642
BSIF;15x15;12;N/A;linear;1;97,708 ± 1,473
BSIF;15x15;12;0,8;linear;100;97,708 ± 1,276
BSIF;15x15;12;0,8;linear;10;97,708 ± 1,276
BSIF;17x17;6;N/A;linear;1;97,656 ± 0,825
BSIF;17x17;6;0,8;linear;1;97,656 ± 0,712
BSIF;15x15;8;0,6;rbf;1;97,656 ± 0,648
BSIF;15x15;8;0,6;linear;1;97,656 ± 0,475
BSIF;15x15;11;N/A;poly;100;97,656 ± 0,697
BSIF;15x15;11;N/A;poly;10;97,656 ± 0,697
BSIF;15x15;11;N/A;poly;1;97,656 ± 0,697
BSIF;17x17;10;0,2;linear;100;97,656 ± 0,97
BSIF;15x15;8;0,6;linear;10;97,604 ± 0,312
BSIF;15x15;8;0,6;linear;100;97,604 ± 0,312
BSIF;17x17;8;0,4;rbf;1;97,604 ± 0,312
BSIF;17x17;8;0,4;linear;10;97,604 ± 0,376
BSIF;17x17;8;0,4;linear;100;97,604 ± 0,376
BSIF;15x15;7;N/A;poly;100;97,604 ± 0,914
BSIF;15x15;7;N/A;poly;1;97,604 ± 0,914
BSIF;15x15;7;N/A;poly;10;97,604 ± 0,914
BSIF;15x15;8;N/A;poly;1;97,552 ± 0,308
BSIF;15x15;8;N/A;poly;100;97,552 ± 0,308
BSIF;15x15;8;N/A;poly;10;97,552 ± 0,308
BSIF;17x17;6;0,6;rbf;10;97,552 ± 0,475
BSIF;17x17;6;0,6;rbf;100;97,552 ± 0,475
BSIF;17x17;6;0,4;rbf;1;97,552 ± 0,451
BSIF;15x15;11;0,4;rbf;1;97,552 ± 0,539
BSIF;15x15;11;0,4;rbf;100;97,552 ± 0,681
BSIF;15x15;11;0,4;rbf;10;97,552 ± 0,681
BSIF;17x17;7;0,4;linear;100;97,552 ± 0,614
BSIF;15x15;12;0,6;linear;10;97,552 ± 1,589
BSIF;15x15;12;0,6;linear;100;97,552 ± 1,589
BSIF;15x15;12;0,6;linear;1;97,552 ± 1,498
BSIF;15x15;9;0,6;linear;1;97,5 ± 0,859
BSIF;15x15;7;0,6;linear;10;97,5 ± 0,625
BSIF;15x15;7;0,6;linear;100;97,5 ± 0,625
BSIF;17x17;7;0,4;linear;10;97,5 ± 0,675
BSIF;15x15;11;0,4;linear;1;97,448 ± 0,596
BSIF;17x17;11;0,2;linear;1;97,448 ± 0,901
BSIF;17x17;6;0,6;linear;1;97,396 ± 0,667
BSIF;17x17;6;0,8;linear;100;97,396 ± 0,865
BSIF;17x17;6;0,8;linear;10;97,396 ± 0,758
BSIF;17x17;8;0,4;linear;1;97,396 ± 0,233
BSIF;15x15;12;N/A;rbf;10;97,396 ± 1,708
BSIF;15x15;12;N/A;rbf;100;97,396 ± 1,708
BSIF;17x17;6;N/A;linear;100;97,344 ± 0,936
BSIF;17x17;6;N/A;linear;10;97,344 ± 0,936
BSIF;15x15;8;0,4;rbf;100;97,344 ± 0,742
BSIF;15x15;8;0,4;rbf;10;97,344 ± 0,742
BSIF;15x15;9;N/A;linear;100;97,344 ± 0,342
BSIF;15x15;9;N/A;linear;10;97,344 ± 0,342
BSIF;15x15;9;0,8;linear;100;97,344 ± 0,475
BSIF;15x15;9;0,8;linear;10;97,344 ± 0,475
BSIF;15x15;12;N/A;poly;1;97,292 ± 1,724
BSIF;15x15;12;N/A;poly;10;97,292 ± 1,724
BSIF;15x15;12;N/A;poly;100;97,292 ± 1,724
BSIF;15x15;12;0,8;rbf;100;97,24 ± 1,782
BSIF;15x15;12;0,8;rbf;10;97,24 ± 1,782
BSIF;15x15;12;0,6;rbf;10;97,24 ± 1,701
BSIF;15x15;12;0,6;rbf;100;97,24 ± 1,701
BSIF;15x15;10;0,2;rbf;1;97,188 ± 0,616
BSIF;15x15;7;0,4;rbf;1;97,188 ± 0,983
BSIF;17x17;11;0,2;rbf;1;97,188 ± 0,699
BSIF;15x15;9;0,6;linear;10;97,135 ± 0,4
BSIF;15x15;9;0,6;linear;100;97,135 ± 0,4
BSIF;15x15;11;0,4;linear;10;97,135 ± 0,901
BSIF;15x15;11;0,4;linear;100;97,135 ± 0,901
BSIF;15x15;9;N/A;poly;1;97,135 ± 0,959
BSIF;15x15;9;N/A;poly;100;97,135 ± 0,959
BSIF;15x15;9;N/A;poly;10;97,135 ± 0,959
BSIF;17x17;11;0,2;rbf;10;97,135 ± 0,901
BSIF;17x17;11;0,2;rbf;100;97,135 ± 0,901
BSIF;17x17;9;0,2;rbf;1;97,083 ± 1,587
BSIF;15x15;8;0,4;rbf;1;97,083 ± 0,625
BSIF;15x15;9;0,4;linear;1;97,083 ± 1,093
BSIF;15x15;7;0,4;linear;1;97,031 ± 0,901
BSIF;17x17;6;N/A;poly;1;96,927 ± 0,681
BSIF;17x17;6;N/A;poly;100;96,927 ± 0,681
BSIF;17x17;6;N/A;poly;10;96,927 ± 0,681
BSIF;17x17;6;0,6;linear;100;96,927 ± 1,126
BSIF;17x17;6;0,6;linear;10;96,875 ± 0,988
BSIF;17x17;6;0,4;rbf;100;96,875 ± 0,642
BSIF;17x17;6;0,4;rbf;10;96,875 ± 0,642
BSIF;15x15;10;0,2;linear;1;96,875 ± 0,675
BSIF;17x17;9;0,2;linear;1;96,823 ± 1,035
BSIF;15x15;8;0,4;linear;100;96,823 ± 0,539
BSIF;15x15;8;0,4;linear;10;96,823 ± 0,539
BSIF;15x15;8;0,4;linear;1;96,823 ± 0,665
BSIF;17x17;11;0,2;linear;10;96,823 ± 1,116
BSIF;15x15;12;0,4;rbf;100;96,823 ± 1,623
BSIF;15x15;12;0,4;rbf;10;96,823 ± 1,623
BSIF;17x17;9;0,2;rbf;10;96,771 ± 0,865
BSIF;17x17;9;0,2;rbf;100;96,771 ± 0,865
BSIF;15x15;12;0,8;rbf;1;96,771 ± 1,777
BSIF;13x13;10;0,8;rbf;1;96,719 ± 1,636
BSIF;15x15;10;0,2;rbf;10;96,719 ± 0,712
BSIF;15x15;10;0,2;rbf;100;96,719 ± 0,712
BSIF;15x15;12;N/A;rbf;1;96,719 ± 1,989
BSIF;15x15;12;0,4;linear;100;96,719 ± 1,575
BSIF;15x15;12;0,4;linear;10;96,719 ± 1,575
BSIF;13x13;11;N/A;linear;100;96,667 ± 1,206
BSIF;13x13;11;N/A;linear;10;96,667 ± 1,206
BSIF;13x13;10;N/A;rbf;1;96,667 ± 1,647
BSIF;15x15;9;0,4;linear;10;96,667 ± 0,691
BSIF;15x15;9;0,4;linear;100;96,667 ± 0,691
BSIF;17x17;11;0,2;linear;100;96,667 ± 1,179
BSIF;13x13;10;N/A;rbf;10;96,667 ± 1,259
BSIF;13x13;10;N/A;rbf;100;96,667 ± 1,259
BSIF;15x15;12;0,4;linear;1;96,667 ± 1,64
BSIF;17x17;6;0,4;linear;1;96,615 ± 0,697
BSIF;13x13;11;N/A;rbf;100;96,615 ± 0,992
BSIF;13x13;11;N/A;rbf;10;96,615 ± 0,992
BSIF;13x13;11;N/A;linear;1;96,615 ± 0,864
BSIF;13x13;10;0,6;rbf;1;96,562 ± 1,63
BSIF;13x13;10;0,8;rbf;100;96,562 ± 1,288
BSIF;13x13;10;0,8;rbf;10;96,562 ± 1,288
BSIF;15x15;12;0,6;rbf;1;96,562 ± 2,001
BSIF;17x17;6;0,4;linear;10;96,51 ± 0,876
BSIF;13x13;11;0,8;linear;10;96,51 ± 1,191
BSIF;13x13;11;0,8;linear;100;96,51 ± 1,191
BSIF;13x13;10;N/A;linear;1;96,51 ± 1,337
BSIF;13x13;11;0,8;linear;1;96,458 ± 0,872
BSIF;13x13;11;0,6;linear;1;96,458 ± 0,988
BSIF;13x13;11;0,6;linear;10;96,458 ± 1,405
BSIF;13x13;11;0,6;linear;100;96,458 ± 1,405
BSIF;13x13;10;0,8;linear;1;96,458 ± 1,405
BSIF;17x17;6;0,4;linear;100;96,406 ± 1,236
BSIF;15x15;7;0,4;linear;100;96,406 ± 0,924
BSIF;15x15;7;0,4;linear;10;96,406 ± 0,924
BSIF;13x13;10;N/A;linear;100;96,406 ± 0,901
BSIF;13x13;10;N/A;linear;10;96,406 ± 0,901
BSIF;13x13;10;0,6;rbf;10;96,406 ± 1,209
BSIF;13x13;10;0,6;rbf;100;96,406 ± 1,209
BSIF;13x13;10;0,6;linear;1;96,406 ± 1,562
BSIF;13x13;11;0,6;rbf;10;96,354 ± 1,254
BSIF;13x13;11;0,6;rbf;100;96,354 ± 1,254
BSIF;13x13;11;0,8;rbf;100;96,354 ± 1,338
BSIF;13x13;11;0,8;rbf;10;96,354 ± 1,338
BSIF;13x13;10;0,8;linear;100;96,354 ± 0,937
BSIF;13x13;10;0,8;linear;10;96,354 ± 0,937
BSIF;15x15;12;0,4;rbf;1;96,354 ± 1,855
BSIF;17x17;9;0,2;linear;10;96,302 ± 0,4
BSIF;13x13;11;N/A;poly;1;96,25 ± 1,052
BSIF;13x13;11;N/A;poly;100;96,25 ± 1,052
BSIF;13x13;11;N/A;poly;10;96,25 ± 1,052
BSIF;13x13;11;0,4;linear;1;96,25 ± 0,78
BSIF;13x13;10;N/A;poly;1;96,25 ± 1,151
BSIF;13x13;10;N/A;poly;100;96,25 ± 1,151
BSIF;13x13;10;N/A;poly;10;96,25 ± 1,151
BSIF;13x13;10;0,6;linear;100;96,25 ± 0,977
BSIF;13x13;10;0,6;linear;10;96,25 ± 0,977
BSIF;17x17;9;0,2;linear;100;96,198 ± 0,475
BSIF;13x13;11;0,4;rbf;10;96,198 ± 1,431
BSIF;13x13;11;0,4;rbf;100;96,198 ± 1,431
BSIF;13x13;10;0,4;rbf;1;96,198 ± 1,788
BSIF;13x13;9;0,8;rbf;100;96,198 ± 1,253
BSIF;13x13;9;0,8;rbf;10;96,198 ± 1,253
BSIF;13x13;9;N/A;rbf;10;96,146 ± 1,183
BSIF;13x13;9;N/A;rbf;100;96,146 ± 1,183
BSIF;17x17;12;0,2;linear;1;96,042 ± 1,524
BSIF;17x17;12;0,2;rbf;1;96,042 ± 1,206
BSIF;13x13;9;N/A;linear;1;95,938 ± 1,417
BSIF;17x17;12;0,2;rbf;10;95,938 ± 1,417
BSIF;17x17;12;0,2;rbf;100;95,938 ± 1,417
BSIF;13x13;10;0,4;linear;1;95,938 ± 1,708
BSIF;15x15;10;0,2;linear;10;95,885 ± 1,106
BSIF;13x13;9;0,6;rbf;100;95,885 ± 1,066
BSIF;13x13;9;0,6;rbf;10;95,885 ± 1,066
BSIF;13x13;10;0,4;rbf;100;95,885 ± 1,369
BSIF;13x13;10;0,4;rbf;10;95,885 ± 1,369
BSIF;13x13;11;0,4;linear;10;95,833 ± 1,284
BSIF;13x13;11;0,4;linear;100;95,833 ± 1,284
BSIF;15x15;10;0,2;linear;100;95,781 ± 1,2
BSIF;17x17;7;0,2;rbf;1;95,729 ± 1,401
BSIF;13x13;9;N/A;linear;100;95,677 ± 1,582
BSIF;13x13;9;N/A;linear;10;95,677 ± 1,582
BSIF;13x13;9;0,8;linear;10;95,677 ± 1,582
BSIF;13x13;9;0,8;linear;100;95,677 ± 1,582
BSIF;13x13;11;0,8;rbf;1;95,625 ± 2,301
BSIF;13x13;9;0,8;linear;1;95,625 ± 1,517
BSIF;13x13;11;N/A;rbf;1;95,573 ± 2,293
