Feature;Filter Size;Filter Bit;PCA;SVM Kernel;SVM C;Acc
MTCD-BSIF;17x17;7;0,6;linear;1;99,948 ± 0,09
MTCD-BSIF;17x17;7;0,8;linear;1;99,948 ± 0,09
MTCD-BSIF;17x17;7;N/A;linear;1;99,948 ± 0,09
MTCD-BSIF;17x17;7;N/A;rbf;10;99,948 ± 0,09
MTCD-BSIF;17x17;7;N/A;rbf;100;99,948 ± 0,09
MTCD-BSIF;17x17;7;0,8;linear;100;99,896 ± 0,18
MTCD-BSIF;17x17;7;N/A;linear;10;99,896 ± 0,18
MTCD-BSIF;17x17;7;0,6;linear;10;99,896 ± 0,18
MTCD-BSIF;17x17;7;N/A;linear;100;99,896 ± 0,18
MTCD-BSIF;17x17;7;0,8;linear;10;99,896 ± 0,18
MTCD-BSIF;17x17;7;0,6;linear;100;99,896 ± 0,18
MTCD-BSIF;17x17;9;0,6;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,8;linear;10;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,6;linear;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,6;linear;10;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,8;linear;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;poly;1;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,8;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;poly;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;rbf;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,4;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,4;linear;10;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;rbf;10;99,896 ± 0,104
MTCD-BSIF;17x17;9;0,4;linear;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;poly;10;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;linear;100;99,896 ± 0,104
MTCD-BSIF;17x17;9;N/A;linear;10;99,896 ± 0,104
MTCD-BSIF;17x17;7;0,4;linear;1;99,896 ± 0,18
MTCD-BSIF;17x17;7;N/A;poly;1;99,896 ± 0,104
MTCD-BSIF;17x17;7;N/A;poly;10;99,896 ± 0,104
MTCD-BSIF;17x17;7;N/A;poly;100;99,896 ± 0,104
MTCD-BSIF;17x17;6;N/A;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;6;0,6;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;6;0,8;linear;1;99,896 ± 0,104
MTCD-BSIF;17x17;7;0,4;linear;100;99,844 ± 0,271
MTCD-BSIF;17x17;7;0,4;linear;10;99,844 ± 0,271
MTCD-BSIF;17x17;6;0,4;linear;1;99,844 ± 0,173
MTCD-BSIF;17x17;7;0,6;rbf;100;99,844 ± 0,173
MTCD-BSIF;17x17;7;0,4;rbf;10;99,844 ± 0,173
MTCD-BSIF;17x17;7;0,6;rbf;10;99,844 ± 0,173
MTCD-BSIF;17x17;7;0,4;rbf;100;99,844 ± 0,173
MTCD-BSIF;17x17;6;N/A;linear;100;99,844 ± 0,173
MTCD-BSIF;17x17;6;0,6;linear;100;99,844 ± 0,173
MTCD-BSIF;17x17;6;N/A;linear;10;99,844 ± 0,173
MTCD-BSIF;17x17;6;0,6;linear;10;99,844 ± 0,173
MTCD-BSIF;17x17;6;0,8;linear;100;99,844 ± 0,173
