Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
MTCD+BSIF;13x13;11;0,4;98,75;98,688
MTCD+BSIF;13x13;11;0,8;98,75;98,688
MTCD+BSIF;13x13;11;0,2;98,75;98,688
MTCD+BSIF;13x13;11;N/A;98,75;98,688
MTCD+BSIF;15x15;10;0,6;98,75;98,688
MTCD+BSIF;15x15;10;0,4;98,75;98,688
MTCD+BSIF;17x17;9;0,2;98,75;98,545
MTCD+BSIF;17x17;5;0,4;98,75;98,545
MTCD+BSIF;13x13;5;0,2;98,75;98,545
MTCD+BSIF;17x17;10;0,2;98,75;98,545
MTCD+BSIF;13x13;12;N/A;98,333;98,329
MTCD+BSIF;13x13;12;0,6;98,333;98,329
MTCD+BSIF;13x13;12;0,8;98,333;98,329
MTCD+BSIF;9x9;9;0,6;98,333;98,265
MTCD+BSIF;11x11;11;0,2;98,333;98,222
MTCD+BSIF;9x9;9;0,2;98,333;98,122
MTCD+BSIF;15x15;12;0,2;98,333;98,122
MTCD+BSIF;9x9;10;0,6;98,333;98,122
MTCD+BSIF;9x9;10;0,2;98,333;98,122
MTCD+BSIF;11x11;10;0,2;97,917;97,826
MTCD+BSIF;11x11;9;0,8;97,917;97,804
MTCD+BSIF;11x11;9;0,6;97,917;97,804
MTCD+BSIF;11x11;9;N/A;97,917;97,804
MTCD+BSIF;17x17;5;0,2;98,333;97,778
MTCD+BSIF;17x17;5;0,6;98,333;97,778
MTCD+BSIF;17x17;5;N/A;98,333;97,778
MTCD+BSIF;17x17;5;0,8;98,333;97,778
MTCD+BSIF;9x9;9;0,4;97,917;97,699
MTCD+BSIF;9x9;9;N/A;97,917;97,699
MTCD+BSIF;9x9;9;0,8;97,917;97,699
MTCD+BSIF;7x7;5;N/A;97,917;97,699
MTCD+BSIF;7x7;5;0,8;97,917;97,699
MTCD+BSIF;7x7;5;0,6;97,917;97,699
MTCD+BSIF;11x11;11;0,4;97,917;97,699
MTCD+BSIF;11x11;11;0,8;97,917;97,699
MTCD+BSIF;11x11;11;0,6;97,917;97,699
MTCD+BSIF;11x11;11;N/A;97,917;97,699
MTCD+BSIF;9x9;10;0,4;97,917;97,699
MTCD+BSIF;9x9;10;N/A;97,917;97,699
MTCD+BSIF;9x9;10;0,8;97,917;97,699
MTCD+BSIF;13x13;12;0,2;97,5;97,397
MTCD+BSIF;11x11;9;0,2;97,5;97,376
MTCD+BSIF;9x9;7;0,6;97,5;97,36
MTCD+BSIF;9x9;7;0,8;97,5;97,36
MTCD+BSIF;9x9;7;N/A;97,5;97,36
MTCD+BSIF;7x7;5;0,4;97,5;97,233
MTCD+BSIF;11x11;9;0,4;97,5;97,212
MTCD+BSIF;9x9;7;0,4;97,083;96,937
MTCD+BSIF;11x11;5;0,6;97,083;96,746
MTCD+BSIF;11x11;5;N/A;97,083;96,746
MTCD+BSIF;11x11;5;0,4;97,083;96,746
MTCD+BSIF;11x11;5;0,8;97,083;96,746
MTCD+BSIF;11x11;12;0,2;96,667;96,244
MTCD+BSIF;11x11;12;0,6;96,667;96,244
MTCD+BSIF;11x11;12;0,4;96,667;96,244
MTCD+BSIF;11x11;12;0,8;96,667;96,244
MTCD+BSIF;11x11;12;N/A;96,667;96,244
MTCD+BSIF;9x9;12;0,6;96,667;96,091
MTCD+BSIF;9x9;12;0,8;96,667;96,091
MTCD+BSIF;9x9;12;N/A;96,667;96,091
MTCD+BSIF;9x9;7;0,2;96,25;95,761
MTCD+BSIF;11x11;7;0,4;96,25;95,715
MTCD+BSIF;9x9;12;0,4;96,25;95,668
MTCD+BSIF;9x9;11;0,8;95,833;95,498
MTCD+BSIF;9x9;11;N/A;95,833;95,498
MTCD+BSIF;11x11;8;0,6;96,25;95,477
MTCD+BSIF;11x11;8;0,8;96,25;95,477
MTCD+BSIF;11x11;8;N/A;96,25;95,477
MTCD+BSIF;11x11;8;0,4;96,25;95,477
MTCD+BSIF;11x11;7;0,6;96,25;95,413
MTCD+BSIF;11x11;7;N/A;96,25;95,413
MTCD+BSIF;11x11;7;0,8;96,25;95,413
MTCD+BSIF;9x9;8;N/A;96,25;95,392
MTCD+BSIF;9x9;8;0,8;96,25;95,392
MTCD+BSIF;9x9;8;0,6;96,25;95,366
MTCD+BSIF;11x11;6;N/A;95,833;95,366
MTCD+BSIF;11x11;6;0,8;95,833;95,366
MTCD+BSIF;11x11;6;0,6;95,833;95,366
MTCD+BSIF;11x11;6;0,4;95,833;95,366
MTCD+BSIF;9x9;8;0,2;95,833;95,355
MTCD+BSIF;9x9;12;0,2;95,833;95,165
MTCD+BSIF;9x9;11;0,6;95,417;95,032
MTCD+BSIF;9x9;6;0,4;95,833;94,989
MTCD+BSIF;9x9;6;N/A;95,833;94,989
MTCD+BSIF;9x9;6;0,6;95,833;94,989
MTCD+BSIF;9x9;6;0,8;95,833;94,989
MTCD+BSIF;11x11;7;0,2;95,417;94,826
MTCD+BSIF;9x9;5;0,6;95,417;94,73
MTCD+BSIF;9x9;5;N/A;95,417;94,73
MTCD+BSIF;9x9;5;0,2;95,417;94,667
MTCD+BSIF;7x7;6;0,4;95,833;94,667
MTCD+BSIF;9x9;8;0,4;95,417;94,588
MTCD+BSIF;7x7;6;0,8;95,833;94,582
MTCD+BSIF;7x7;6;0,6;95,833;94,582
MTCD+BSIF;7x7;6;N/A;95,833;94,582
MTCD+BSIF;11x11;5;0,2;95,417;94,556
MTCD+BSIF;5x5;8;0,4;95,833;94,556
MTCD+BSIF;5x5;8;0,6;95,833;94,556
MTCD+BSIF;5x5;8;N/A;95,833;94,556
MTCD+BSIF;5x5;8;0,8;95,833;94,556
MTCD+BSIF;9x9;11;0,4;95;94,53
MTCD+BSIF;5x5;8;0,2;95,833;94,519
MTCD+BSIF;11x11;6;0,2;95;94,467
MTCD+BSIF;9x9;11;0,2;95;94,333
MTCD+BSIF;7x7;7;N/A;94,583;94,156
MTCD+BSIF;7x7;7;0,8;94,583;94,156
MTCD+BSIF;9x9;5;0,4;95;94,138
MTCD+BSIF;9x9;5;0,8;95;94,138
MTCD+BSIF;7x7;9;0,4;94,583;93,901
MTCD+BSIF;5x5;5;N/A;95;93,773
MTCD+BSIF;5x5;5;0,8;95;93,773
MTCD+BSIF;7x7;7;0,6;94,167;93,758
MTCD+BSIF;9x9;6;0,2;94,583;93,714
MTCD+BSIF;7x7;5;0,2;95;93,614
MTCD+BSIF;7x7;6;0,2;94,583;93,599
MTCD+BSIF;7x7;7;0,2;94,167;93,395
MTCD+BSIF;7x7;7;0,4;94,167;93,389
MTCD+BSIF;5x5;5;0,6;94,583;93,307
MTCD+BSIF;5x5;5;0,2;94,583;93,233
MTCD+BSIF;7x7;12;0,4;94,583;93,19
MTCD+BSIF;5x5;6;0,8;94,167;92,999
MTCD+BSIF;5x5;6;0,6;94,167;92,999
MTCD+BSIF;5x5;6;0,4;94,167;92,999
MTCD+BSIF;5x5;6;N/A;94,167;92,999
MTCD+BSIF;7x7;9;0,6;93,75;92,87
MTCD+BSIF;7x7;9;N/A;93,75;92,843
MTCD+BSIF;7x7;9;0,8;93,75;92,843
MTCD+BSIF;5x5;5;0,4;94,167;92,805
MTCD+BSIF;11x11;8;0,2;93,75;92,783
MTCD+BSIF;7x7;9;0,2;93,333;92,546
MTCD+BSIF;7x7;12;N/A;93,75;92,408
MTCD+BSIF;7x7;12;0,8;93,75;92,408
MTCD+BSIF;7x7;8;N/A;92,917;92,313
MTCD+BSIF;7x7;8;0,8;92,917;92,313
MTCD+BSIF;5x5;9;0,4;94,167;92,296
MTCD+BSIF;5x5;9;N/A;94,167;92,296
MTCD+BSIF;5x5;9;0,8;94,167;92,296
MTCD+BSIF;5x5;9;0,6;94,167;92,296
MTCD+BSIF;5x5;6;0,2;93,75;92,259
MTCD+BSIF;5x5;7;0,2;93,333;92,159
MTCD+BSIF;7x7;12;0,6;93,333;91,942
MTCD+BSIF;5x5;7;0,4;92,917;91,721
MTCD+BSIF;5x5;7;0,8;92,917;91,721
MTCD+BSIF;5x5;7;0,6;92,917;91,721
MTCD+BSIF;5x5;7;N/A;92,917;91,721
MTCD+BSIF;5x5;10;0,4;93,333;91,613
MTCD+BSIF;5x5;10;0,6;93,333;91,613
MTCD+BSIF;7x7;8;0,4;92,5;91,582
MTCD+BSIF;7x7;8;0,2;92,083;91,5
MTCD+BSIF;5x5;9;0,2;93,333;91,407
MTCD+BSIF;5x5;10;N/A;92,917;91,111
MTCD+BSIF;5x5;10;0,8;92,917;91,111
MTCD+BSIF;5x5;11;0,2;92,917;90,881
MTCD+BSIF;7x7;12;0,2;92,5;90,709
MTCD+BSIF;3x3;5;0,6;92,5;90,673
MTCD+BSIF;3x3;5;0,8;92,5;90,673
MTCD+BSIF;3x3;5;N/A;92,5;90,673
MTCD+BSIF;3x3;5;0,4;92,5;90,673
MTCD+BSIF;7x7;8;0,6;91,667;90,567
MTCD+BSIF;7x7;10;N/A;92,083;90,529
MTCD+BSIF;7x7;10;0,6;92,083;90,529
MTCD+BSIF;7x7;10;0,8;92,083;90,529
MTCD+BSIF;7x7;11;N/A;91,667;90,16
MTCD+BSIF;7x7;11;0,6;91,667;90,16
MTCD+BSIF;7x7;11;0,8;91,667;90,16
MTCD+BSIF;7x7;11;0,4;91,667;90,152
MTCD+BSIF;3x3;5;0,2;92,083;90,017
MTCD+BSIF;5x5;10;0,2;91,667;89,856
MTCD+BSIF;3x3;6;N/A;91,667;89,847
MTCD+BSIF;3x3;6;0,8;91,667;89,847
MTCD+BSIF;3x3;6;0,6;91,667;89,847
MTCD+BSIF;5x5;11;N/A;92,083;89,741
MTCD+BSIF;5x5;11;0,8;92,083;89,741
MTCD+BSIF;5x5;11;0,6;92,083;89,741
MTCD+BSIF;5x5;11;0,4;91,667;89,403
MTCD+BSIF;7x7;10;0,4;91,25;89,196
MTCD+BSIF;7x7;10;0,2;90,833;89,032
MTCD+BSIF;3x3;6;0,2;90,417;89,025
MTCD+BSIF;3x3;6;0,4;90,833;88,998
MTCD+BSIF;5x5;12;0,6;91,25;88,93
MTCD+BSIF;5x5;12;N/A;91,25;88,93
MTCD+BSIF;5x5;12;0,8;91,25;88,93
MTCD+BSIF;5x5;12;0,4;90,833;88,507
MTCD+BSIF;7x7;11;0,2;90;88,393
MTCD+BSIF;5x5;12;0,2;90;87,359
MTCD+BSIF;3x3;8;0,4;82,083;78,821
MTCD+BSIF;3x3;8;N/A;82,083;78,785
MTCD+BSIF;3x3;8;0,8;82,083;78,785
MTCD+BSIF;3x3;8;0,6;82,083;78,785
MTCD+BSIF;3x3;8;0,2;82,083;78,654
MTCD+BSIF;3x3;7;0,8;80,833;76,192
MTCD+BSIF;3x3;7;0,6;80,833;76,192
MTCD+BSIF;3x3;7;N/A;80,833;76,192
MTCD+BSIF;3x3;7;0,2;80,417;75,943
MTCD+BSIF;3x3;7;0,4;80,417;75,875
