Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
BSIF;13x13;6;0,2;90,833;90,27
BSIF;11x11;12;0,2;90;89,365
BSIF;11x11;11;0,2;90,417;88,949
BSIF;15x15;6;0,2;89,167;88,685
BSIF;9x9;9;N/A;88,75;88,223
BSIF;9x9;9;0,8;88,75;88,223
BSIF;15x15;5;0,4;89,167;87,742
BSIF;15x15;5;0,2;88,75;87,593
BSIF;13x13;8;0,2;89,167;87,579
BSIF;13x13;12;0,2;87,917;87,478
BSIF;13x13;7;0,2;88,333;87,381
BSIF;9x9;9;0,6;87,917;87,379
BSIF;9x9;9;0,4;87,083;86,534
BSIF;13x13;5;0,6;88,333;86,355
BSIF;9x9;7;N/A;86,25;85,81
BSIF;11x11;6;0,8;87,083;85,68
BSIF;11x11;6;N/A;87,083;85,68
BSIF;13x13;5;0,8;87,5;85,556
BSIF;13x13;5;N/A;87,5;85,556
BSIF;9x9;10;0,2;86,667;85,456
BSIF;13x13;5;0,4;87,083;85,453
BSIF;9x9;8;N/A;86,25;85,095
BSIF;9x9;12;0,6;86,25;84,951
BSIF;9x9;7;0,6;85,417;84,839
BSIF;9x9;7;0,8;85;84,636
BSIF;9x9;7;0,4;85;84,526
BSIF;9x9;12;N/A;85,833;84,449
BSIF;11x11;5;0,8;86,25;84,431
BSIF;9x9;8;0,8;85,417;84,36
BSIF;11x11;6;0,6;85,833;84,271
BSIF;11x11;5;N/A;85,833;84,092
BSIF;9x9;12;0,8;85,417;84,032
BSIF;9x9;11;N/A;84,583;83,751
BSIF;9x9;11;0,8;84,583;83,751
BSIF;11x11;8;0,2;84,583;83,34
BSIF;11x11;5;0,6;85,417;83,325
BSIF;9x9;8;0,6;84,583;83,259
BSIF;9x9;11;0,6;84,167;83,248
BSIF;11x11;7;0,2;84,583;83,202
BSIF;9x9;12;0,4;84,167;82,91
BSIF;7x7;5;0,6;84,583;82,718
BSIF;7x7;5;0,8;84,167;82,295
BSIF;7x7;5;N/A;84,167;82,295
BSIF;9x9;11;0,4;82,917;82,255
BSIF;7x7;5;0,4;83,333;81,937
BSIF;9x9;8;0,4;83,333;81,898
BSIF;11x11;6;0,4;83,75;81,501
BSIF;13x13;5;0,2;82,917;81,428
BSIF;9x9;5;N/A;82,917;81,105
BSIF;9x9;9;0,2;81,667;80,912
BSIF;9x9;5;0,8;82,5;80,482
BSIF;9x9;5;0,4;82,083;80,226
BSIF;9x9;5;0,6;82,083;80,043
BSIF;11x11;5;0,4;81,667;79,5
BSIF;9x9;7;0,2;79,583;78,319
BSIF;9x9;12;0,2;79,167;77,389
BSIF;9x9;11;0,2;77,917;76,594
BSIF;9x9;8;0,2;77,917;76,285
BSIF;7x7;12;N/A;77,5;76,007
BSIF;7x7;12;0,8;77,5;76,007
BSIF;7x7;12;0,6;77,083;75,267
BSIF;7x7;12;0,4;76,667;75,133
BSIF;9x9;6;N/A;76,667;74,443
BSIF;9x9;6;0,8;76,25;74,057
BSIF;7x7;10;0,8;75;73,242
BSIF;9x9;6;0,6;75,833;73,192
BSIF;7x7;10;N/A;75;73,136
BSIF;7x7;5;0,2;76,667;72,924
BSIF;9x9;5;0,2;75;72,877
BSIF;7x7;10;0,6;74,583;72,667
BSIF;11x11;6;0,2;74,583;72,227
BSIF;7x7;6;N/A;73,333;71,991
BSIF;7x7;6;0,6;73,333;71,991
BSIF;7x7;6;0,8;72,917;71,61
BSIF;7x7;10;0,4;73,75;71,501
BSIF;9x9;6;0,4;73,75;71,193
BSIF;7x7;9;0,8;72,083;70,767
BSIF;7x7;9;N/A;72,083;70,767
BSIF;7x7;6;0,4;71,667;70,279
BSIF;7x7;12;0,2;72,5;69,966
BSIF;5x5;10;0,6;71,667;69,945
BSIF;5x5;10;0,8;71,667;69,945
BSIF;5x5;10;N/A;71,667;69,945
BSIF;7x7;9;0,6;71,25;69,794
BSIF;5x5;10;0,4;71,25;69,542
BSIF;7x7;7;N/A;71,25;69,237
BSIF;7x7;7;0,8;70,833;68,624
BSIF;7x7;9;0,4;70,417;68,404
BSIF;7x7;11;0,4;70;68,254
BSIF;7x7;7;0,6;70;68,067
BSIF;7x7;11;0,8;69,583;67,472
BSIF;5x5;9;N/A;70,417;67,426
BSIF;5x5;9;0,8;70,417;67,426
BSIF;7x7;7;0,4;69,167;67,293
BSIF;7x7;11;N/A;69,583;67,266
BSIF;5x5;9;0,6;70;67,224
BSIF;7x7;11;0,6;69,167;67,219
BSIF;9x9;6;0,2;68,75;66,959
BSIF;11x11;5;0,2;69,583;66,926
BSIF;5x5;9;0,4;68,75;66
BSIF;7x7;8;0,8;67,5;65,584
BSIF;7x7;8;N/A;67,5;65,584
BSIF;5x5;8;0,8;69,167;65,472
BSIF;5x5;8;N/A;69,167;65,472
BSIF;5x5;10;0,2;67,083;65,341
BSIF;5x5;8;0,6;68,75;65,05
BSIF;7x7;8;0,6;67,083;65,034
BSIF;5x5;8;0,4;69,167;64,984
BSIF;7x7;10;0,2;67,083;64,425
BSIF;7x7;9;0,2;65,833;63,906
BSIF;7x7;8;0,4;65,833;63,33
BSIF;5x5;9;0,2;66,667;63,081
BSIF;7x7;6;0,2;65,417;62,997
BSIF;7x7;11;0,2;64,583;62,93
BSIF;7x7;8;0,2;64,583;61,88
BSIF;5x5;11;0,8;62,917;60,447
BSIF;5x5;11;N/A;62,917;60,447
BSIF;5x5;11;0,6;62,917;60,366
BSIF;5x5;8;0,2;64,167;60,281
BSIF;7x7;7;0,2;61,667;59,894
BSIF;5x5;11;0,4;62,5;59,565
BSIF;5x5;5;0,6;62,083;57,805
BSIF;5x5;5;0,4;62,083;57,561
BSIF;5x5;5;0,8;62,083;57,523
BSIF;5x5;5;N/A;62,083;57,523
BSIF;5x5;7;N/A;58,75;54,941
BSIF;5x5;7;0,8;58,75;54,882
BSIF;5x5;7;0,6;57,917;54,063
BSIF;5x5;7;0,4;57,917;54,056
BSIF;5x5;12;0,4;57,5;53,464
BSIF;5x5;11;0,2;55,833;52,853
BSIF;5x5;12;0,6;56,667;52,522
BSIF;5x5;12;N/A;56,667;52,522
BSIF;5x5;12;0,8;56,667;52,522
BSIF;5x5;12;0,2;54,167;50,253
BSIF;5x5;5;0,2;54,583;49,523
BSIF;5x5;6;N/A;53,333;47,207
BSIF;5x5;6;0,8;53,333;47,207
BSIF;5x5;7;0,2;51,25;46,895
BSIF;5x5;6;0,6;52,917;46,836
BSIF;5x5;6;0,4;52,5;46,398
BSIF;5x5;6;0,2;47,083;42,108
BSIF;3x3;6;N/A;25,417;24,095
BSIF;3x3;6;0,8;25,417;24,095
BSIF;3x3;6;0,4;25,417;24,06
BSIF;3x3;6;0,6;25;23,911
BSIF;3x3;5;N/A;27,083;22,965
BSIF;3x3;5;0,8;27,083;22,965
BSIF;3x3;5;0,6;26,667;22,727
BSIF;3x3;5;0,4;26,667;22,631
BSIF;3x3;6;0,2;23,333;22,439
BSIF;3x3;8;N/A;25,833;21,782
BSIF;3x3;8;0,8;25,833;21,782
BSIF;3x3;8;0,6;25,833;21,782
BSIF;3x3;8;0,4;25,417;21,446
BSIF;3x3;8;0,2;24,167;20,038
BSIF;3x3;5;0,2;22,5;18,656
BSIF;3x3;7;0,8;16,25;11,733
BSIF;3x3;7;0,4;16,25;11,733
BSIF;3x3;7;0,6;16,25;11,733
BSIF;3x3;7;N/A;16,25;11,733
BSIF;3x3;7;0,2;15,833;11,613
