Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
BSIF;17x17;12;0,6;rbf;10;98,854;98,764
BSIF;17x17;12;0,8;rbf;10;98,854;98,764
BSIF;17x17;12;0,6;rbf;100;98,854;98,764
BSIF;17x17;12;0,8;rbf;100;98,854;98,764
BSIF;17x17;9;0,4;rbf;100;98,802;98,756
BSIF;17x17;9;0,4;rbf;10;98,802;98,756
BSIF;17x17;8;0,8;linear;10;98,75;98,742
BSIF;17x17;8;0,8;linear;100;98,75;98,742
BSIF;17x17;11;0,4;rbf;1;98,75;98,738
BSIF;15x15;10;0,6;rbf;1;98,75;98,737
BSIF;15x15;10;N/A;rbf;1;98,75;98,737
BSIF;17x17;7;0,8;linear;1;98,75;98,726
BSIF;17x17;8;0,6;linear;10;98,698;98,69
BSIF;17x17;8;N/A;linear;100;98,698;98,69
BSIF;17x17;8;0,6;linear;100;98,698;98,69
BSIF;17x17;8;N/A;linear;10;98,698;98,69
BSIF;17x17;11;0,4;linear;100;98,698;98,681
BSIF;17x17;11;0,4;linear;10;98,698;98,681
BSIF;17x17;7;0,6;rbf;1;98,698;98,669
BSIF;17x17;12;0,4;rbf;100;98,75;98,659
BSIF;17x17;12;0,4;rbf;10;98,75;98,659
BSIF;15x15;10;0,4;linear;1;98,698;98,659
BSIF;17x17;12;0,8;rbf;1;98,75;98,658
BSIF;17x17;12;0,6;rbf;1;98,75;98,656
BSIF;17x17;12;0,8;linear;10;98,75;98,656
BSIF;17x17;12;0,8;linear;100;98,75;98,656
BSIF;15x15;10;N/A;poly;1;98,698;98,648
BSIF;15x15;10;N/A;poly;10;98,698;98,648
BSIF;15x15;10;N/A;poly;100;98,698;98,648
BSIF;17x17;9;N/A;poly;100;98,698;98,643
BSIF;17x17;9;N/A;poly;10;98,698;98,643
BSIF;17x17;9;N/A;poly;1;98,698;98,643
BSIF;17x17;12;N/A;linear;100;98,698;98,639
BSIF;17x17;12;N/A;linear;10;98,698;98,639
BSIF;15x15;10;0,4;rbf;1;98,646;98,624
BSIF;17x17;12;0,8;linear;1;98,646;98,585
BSIF;17x17;7;0,6;linear;1;98,594;98,565
BSIF;17x17;12;N/A;rbf;1;98,646;98,552
BSIF;17x17;12;N/A;linear;1;98,594;98,533
BSIF;15x15;7;N/A;rbf;100;98,542;98,526
BSIF;15x15;7;N/A;rbf;10;98,542;98,526
BSIF;17x17;7;N/A;linear;10;98,542;98,522
BSIF;17x17;7;N/A;linear;100;98,542;98,522
BSIF;17x17;7;0,8;rbf;100;98,542;98,517
BSIF;17x17;7;0,8;rbf;10;98,542;98,517
BSIF;17x17;8;0,6;rbf;100;98,542;98,515
BSIF;17x17;8;0,6;rbf;10;98,542;98,515
BSIF;17x17;12;0,6;linear;100;98,542;98,485
BSIF;17x17;12;0,6;linear;10;98,542;98,485
BSIF;15x15;7;0,6;rbf;10;98,49;98,476
BSIF;15x15;7;0,6;rbf;100;98,49;98,476
BSIF;17x17;7;N/A;rbf;100;98,49;98,454
BSIF;17x17;7;N/A;rbf;10;98,49;98,454
BSIF;15x15;7;0,8;rbf;10;98,438;98,421
BSIF;15x15;7;0,8;rbf;100;98,438;98,421
BSIF;17x17;12;0,6;linear;1;98,49;98,404
BSIF;17x17;12;0,4;rbf;1;98,49;98,391
BSIF;15x15;10;0,4;linear;100;98,438;98,391
BSIF;15x15;10;0,4;linear;10;98,438;98,391
BSIF;17x17;8;N/A;poly;100;98,385;98,361
BSIF;17x17;8;N/A;poly;10;98,385;98,361
BSIF;17x17;8;N/A;poly;1;98,385;98,361
BSIF;17x17;7;0,8;linear;100;98,385;98,359
BSIF;17x17;7;0,8;linear;10;98,385;98,359
BSIF;17x17;9;0,4;linear;100;98,438;98,341
BSIF;17x17;9;0,4;linear;10;98,438;98,341
BSIF;17x17;9;0,4;linear;1;98,438;98,336
BSIF;17x17;9;0,4;rbf;1;98,385;98,317
BSIF;15x15;8;N/A;rbf;100;98,385;98,313
BSIF;15x15;8;N/A;rbf;10;98,385;98,313
BSIF;17x17;7;0,6;rbf;100;98,333;98,305
BSIF;17x17;7;0,6;rbf;10;98,333;98,305
BSIF;17x17;12;N/A;poly;100;98,385;98,293
BSIF;17x17;12;N/A;poly;1;98,385;98,293
BSIF;17x17;12;N/A;poly;10;98,385;98,293
BSIF;15x15;9;0,8;rbf;1;98,333;98,291
BSIF;17x17;12;0,4;linear;100;98,333;98,277
BSIF;17x17;12;0,4;linear;10;98,333;98,277
BSIF;17x17;12;0,4;linear;1;98,333;98,254
BSIF;15x15;11;0,8;rbf;10;98,281;98,242
BSIF;15x15;11;0,8;rbf;100;98,281;98,242
BSIF;17x17;8;N/A;rbf;1;98,281;98,241
BSIF;17x17;8;N/A;linear;1;98,281;98,23
BSIF;17x17;10;0,2;linear;1;98,281;98,228
BSIF;17x17;10;0,2;rbf;100;98,281;98,221
BSIF;17x17;7;0,4;rbf;1;98,229;98,214
BSIF;17x17;10;0,2;rbf;1;98,281;98,21
BSIF;15x15;8;0,8;rbf;10;98,281;98,2
BSIF;15x15;8;0,8;rbf;100;98,281;98,2
BSIF;15x15;9;N/A;rbf;1;98,229;98,187
BSIF;15x15;11;N/A;linear;100;98,229;98,186
BSIF;15x15;11;N/A;linear;10;98,229;98,186
BSIF;17x17;7;N/A;poly;100;98,229;98,183
BSIF;17x17;7;N/A;poly;1;98,229;98,183
BSIF;17x17;7;N/A;poly;10;98,229;98,183
BSIF;17x17;10;0,2;rbf;10;98,229;98,168
BSIF;17x17;8;0,8;rbf;1;98,177;98,139
BSIF;15x15;11;0,8;linear;10;98,177;98,134
BSIF;15x15;11;0,8;linear;100;98,177;98,134
BSIF;17x17;7;0,6;linear;100;98,177;98,132
BSIF;17x17;7;0,6;linear;10;98,177;98,132
BSIF;15x15;11;N/A;rbf;10;98,177;98,125
BSIF;15x15;11;N/A;rbf;100;98,177;98,125
BSIF;17x17;8;0,8;linear;1;98,177;98,121
BSIF;15x15;9;N/A;rbf;100;98,177;98,118
BSIF;15x15;9;N/A;rbf;10;98,177;98,118
BSIF;15x15;9;0,6;rbf;1;98,125;98,082
BSIF;15x15;9;0,8;rbf;10;98,125;98,079
BSIF;15x15;9;0,8;rbf;100;98,125;98,079
BSIF;15x15;11;N/A;linear;1;98,125;98,068
BSIF;15x15;7;0,8;rbf;1;98,073;98,047
BSIF;17x17;8;0,6;rbf;1;98,073;98,026
BSIF;15x15;7;N/A;rbf;1;98,073;98,026
BSIF;15x15;11;0,6;rbf;10;98,073;98,025
BSIF;15x15;11;0,6;rbf;100;98,073;98,025
BSIF;17x17;8;0,4;rbf;10;98,073;98,018
BSIF;17x17;8;0,4;rbf;100;98,073;98,018
BSIF;15x15;11;0,8;linear;1;98,073;98,015
BSIF;17x17;7;0,4;linear;1;98,021;97,982
BSIF;17x17;8;0,6;linear;1;98,021;97,976
BSIF;15x15;7;N/A;linear;1;98,021;97,976
BSIF;15x15;8;0,6;rbf;100;98,073;97,962
BSIF;15x15;8;0,6;rbf;10;98,073;97,962
BSIF;15x15;7;N/A;linear;10;97,969;97,947
BSIF;15x15;7;N/A;linear;100;97,969;97,947
BSIF;17x17;6;0,8;rbf;1;98,021;97,929
BSIF;15x15;11;0,6;linear;1;97,969;97,905
BSIF;15x15;9;0,6;rbf;100;97,969;97,903
BSIF;15x15;9;0,6;rbf;10;97,969;97,903
BSIF;15x15;11;0,8;rbf;1;97,969;97,902
BSIF;15x15;11;0,6;rbf;1;97,969;97,902
BSIF;15x15;7;0,8;linear;1;97,917;97,882
BSIF;17x17;6;0,6;rbf;1;97,969;97,854
BSIF;15x15;7;0,6;linear;1;97,865;97,827
BSIF;15x15;8;N/A;linear;100;97,917;97,811
BSIF;15x15;8;N/A;linear;10;97,917;97,811
BSIF;15x15;11;N/A;rbf;1;97,865;97,782
BSIF;15x15;7;0,6;rbf;1;97,812;97,779
BSIF;15x15;7;0,8;linear;100;97,812;97,776
BSIF;15x15;7;0,8;linear;10;97,812;97,776
BSIF;17x17;6;N/A;rbf;1;97,917;97,758
BSIF;15x15;9;0,4;rbf;1;97,812;97,755
BSIF;15x15;12;N/A;linear;10;97,76;97,741
BSIF;15x15;12;N/A;linear;100;97,76;97,741
BSIF;15x15;12;0,8;linear;1;97,76;97,734
BSIF;17x17;6;0,8;rbf;100;97,812;97,733
BSIF;17x17;6;0,8;rbf;10;97,812;97,733
BSIF;15x15;11;0,6;linear;100;97,76;97,717
BSIF;15x15;11;0,6;linear;10;97,76;97,717
BSIF;17x17;6;N/A;rbf;10;97,812;97,712
BSIF;17x17;6;N/A;rbf;100;97,812;97,712
BSIF;15x15;9;0,4;rbf;10;97,76;97,706
BSIF;15x15;9;0,4;rbf;100;97,76;97,706
BSIF;15x15;12;0,8;linear;100;97,708;97,688
BSIF;15x15;12;0,8;linear;10;97,708;97,688
BSIF;15x15;12;N/A;linear;1;97,708;97,682
BSIF;15x15;9;N/A;linear;1;97,76;97,681
BSIF;15x15;8;0,8;linear;100;97,812;97,679
BSIF;15x15;8;0,8;linear;10;97,812;97,679
BSIF;15x15;8;N/A;linear;1;97,812;97,678
BSIF;15x15;8;0,8;linear;1;97,812;97,677
BSIF;15x15;8;N/A;rbf;1;97,812;97,661
BSIF;15x15;8;0,8;rbf;1;97,812;97,658
BSIF;15x15;9;0,8;linear;1;97,708;97,629
BSIF;17x17;7;0,4;rbf;10;97,656;97,622
BSIF;17x17;7;0,4;rbf;100;97,656;97,622
BSIF;17x17;7;0,4;linear;100;97,656;97,61
BSIF;15x15;7;0,4;rbf;10;97,656;97,609
BSIF;15x15;7;0,4;rbf;100;97,656;97,609
BSIF;15x15;8;0,6;rbf;1;97,76;97,603
BSIF;15x15;11;N/A;poly;10;97,656;97,584
BSIF;15x15;11;N/A;poly;1;97,656;97,584
BSIF;15x15;11;N/A;poly;100;97,656;97,584
BSIF;15x15;7;N/A;poly;10;97,604;97,58
BSIF;15x15;7;N/A;poly;1;97,604;97,58
BSIF;15x15;7;N/A;poly;100;97,604;97,58
BSIF;15x15;8;0,6;linear;1;97,708;97,572
BSIF;17x17;7;0,4;linear;10;97,604;97,558
BSIF;17x17;6;0,6;rbf;10;97,656;97,548
BSIF;17x17;6;0,6;rbf;100;97,656;97,548
BSIF;15x15;11;0,4;rbf;10;97,604;97,545
BSIF;15x15;11;0,4;rbf;100;97,604;97,545
BSIF;17x17;8;0,4;linear;10;97,552;97,531
BSIF;17x17;8;0,4;linear;100;97,552;97,529
BSIF;15x15;11;0,4;rbf;1;97,604;97,513
BSIF;15x15;7;0,6;linear;10;97,552;97,509
BSIF;15x15;7;0,6;linear;100;97,552;97,509
BSIF;17x17;8;0,4;rbf;1;97,552;97,485
BSIF;17x17;10;0,2;linear;10;97,552;97,465
BSIF;17x17;6;0,8;linear;1;97,656;97,452
BSIF;15x15;11;0,4;linear;1;97,5;97,446
BSIF;17x17;6;N/A;linear;1;97,656;97,442
BSIF;17x17;6;0,4;rbf;1;97,552;97,439
BSIF;15x15;12;0,6;linear;1;97,448;97,416
BSIF;15x15;12;0,6;linear;100;97,448;97,414
BSIF;15x15;12;0,6;linear;10;97,448;97,414
BSIF;17x17;10;0,2;linear;100;97,5;97,412
BSIF;15x15;8;0,6;linear;10;97,552;97,411
BSIF;15x15;8;0,6;linear;100;97,552;97,411
BSIF;17x17;11;0,2;linear;1;97,448;97,406
BSIF;15x15;9;0,6;linear;1;97,5;97,382
BSIF;15x15;8;N/A;poly;1;97,552;97,379
BSIF;15x15;8;N/A;poly;10;97,552;97,379
BSIF;15x15;8;N/A;poly;100;97,552;97,379
BSIF;15x15;12;N/A;rbf;100;97,396;97,37
BSIF;15x15;12;N/A;rbf;10;97,396;97,37
BSIF;17x17;8;0,4;linear;1;97,344;97,28
BSIF;15x15;9;0,8;linear;10;97,344;97,273
BSIF;15x15;9;0,8;linear;100;97,344;97,273
BSIF;15x15;9;N/A;linear;10;97,344;97,272
BSIF;15x15;9;N/A;linear;100;97,344;97,272
BSIF;15x15;8;0,4;rbf;100;97,448;97,266
BSIF;15x15;8;0,4;rbf;10;97,448;97,266
BSIF;17x17;6;0,8;linear;10;97,396;97,258
BSIF;15x15;12;N/A;poly;10;97,292;97,253
BSIF;15x15;12;N/A;poly;100;97,292;97,253
