Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi;Macro F1-score
MTCD+BSIF;17x17;8;N/A;rbf;100;99,74;99,733
MTCD+BSIF;17x17;8;0,8;linear;1;99,74;99,733
MTCD+BSIF;17x17;8;0,6;linear;100;99,74;99,733
MTCD+BSIF;17x17;8;N/A;rbf;10;99,74;99,733
MTCD+BSIF;17x17;8;0,8;linear;10;99,74;99,733
MTCD+BSIF;17x17;8;0,6;linear;10;99,74;99,733
MTCD+BSIF;17x17;8;N/A;linear;1;99,74;99,733
MTCD+BSIF;17x17;8;N/A;linear;100;99,74;99,733
MTCD+BSIF;17x17;8;N/A;linear;10;99,74;99,733
MTCD+BSIF;17x17;11;0,6;linear;1;99,74;99,733
MTCD+BSIF;15x15;10;0,8;linear;10;99,74;99,728
MTCD+BSIF;15x15;10;N/A;linear;100;99,74;99,728
MTCD+BSIF;15x15;10;0,6;linear;100;99,74;99,728
MTCD+BSIF;15x15;10;0,8;linear;100;99,74;99,728
MTCD+BSIF;15x15;10;N/A;linear;10;99,74;99,728
MTCD+BSIF;15x15;10;0,6;linear;10;99,74;99,728
MTCD+BSIF;17x17;10;0,4;linear;1;99,688;99,686
MTCD+BSIF;17x17;10;0,4;linear;10;99,688;99,686
MTCD+BSIF;17x17;10;0,4;linear;100;99,688;99,686
MTCD+BSIF;15x15;9;0,8;linear;100;99,688;99,685
MTCD+BSIF;15x15;9;N/A;linear;10;99,688;99,685
MTCD+BSIF;15x15;9;0,8;linear;1;99,688;99,685
MTCD+BSIF;15x15;9;N/A;linear;100;99,688;99,685
MTCD+BSIF;15x15;9;0,8;linear;10;99,688;99,685
MTCD+BSIF;15x15;9;N/A;linear;1;99,688;99,685
MTCD+BSIF;17x17;11;0,6;linear;10;99,688;99,684
MTCD+BSIF;17x17;11;0,8;linear;10;99,688;99,684
MTCD+BSIF;17x17;11;N/A;linear;10;99,688;99,684
MTCD+BSIF;17x17;11;0,6;linear;100;99,688;99,684
MTCD+BSIF;17x17;11;0,8;linear;100;99,688;99,684
MTCD+BSIF;17x17;11;N/A;linear;100;99,688;99,684
MTCD+BSIF;15x15;10;N/A;poly;100;99,688;99,684
MTCD+BSIF;15x15;10;N/A;poly;10;99,688;99,684
MTCD+BSIF;17x17;8;0,4;linear;100;99,688;99,681
MTCD+BSIF;17x17;8;0,4;linear;10;99,688;99,681
MTCD+BSIF;17x17;7;0,4;rbf;10;99,688;99,681
MTCD+BSIF;17x17;7;0,4;rbf;100;99,688;99,681
MTCD+BSIF;17x17;11;0,8;linear;1;99,688;99,681
MTCD+BSIF;17x17;11;N/A;linear;1;99,688;99,681
MTCD+BSIF;17x17;12;N/A;rbf;100;99,688;99,676
MTCD+BSIF;17x17;12;N/A;rbf;10;99,688;99,676
MTCD+BSIF;15x15;10;0,8;linear;1;99,688;99,675
MTCD+BSIF;15x15;10;N/A;linear;1;99,688;99,675
MTCD+BSIF;15x15;10;0,6;linear;1;99,688;99,675
MTCD+BSIF;15x15;9;0,4;linear;100;99,635;99,633
MTCD+BSIF;15x15;9;0,4;linear;10;99,635;99,633
MTCD+BSIF;15x15;9;N/A;rbf;10;99,635;99,631
MTCD+BSIF;15x15;9;N/A;rbf;100;99,635;99,631
MTCD+BSIF;15x15;10;N/A;poly;1;99,635;99,631
MTCD+BSIF;17x17;9;0,6;rbf;100;99,635;99,629
MTCD+BSIF;17x17;9;0,2;linear;100;99,635;99,629
MTCD+BSIF;17x17;9;0,6;rbf;10;99,635;99,629
MTCD+BSIF;17x17;9;0,2;linear;10;99,635;99,629
MTCD+BSIF;17x17;9;0,8;rbf;100;99,635;99,629
MTCD+BSIF;17x17;9;0,8;rbf;10;99,635;99,629
