Fitur;PCA;Kernel;C;Akurasi
MTCD;0,6;linear;100;99,688 $\pm$ 0,233
MTCD;0,6;linear;10;99,688 $\pm$ 0,233
MTCD;0,8;linear;1;99,688 $\pm$ 0,233
MTCD;N/A;linear;1;99,688 $\pm$ 0,233
MTCD;N/A;rbf;100;99,635 $\pm$ 0,308
MTCD;N/A;rbf;10;99,635 $\pm$ 0,308
MTCD;N/A;poly;1;99,635 $\pm$ 0,227
MTCD;0,2;linear;100;99,635 $\pm$ 0,09
MTCD;0,6;rbf;10;99,635 $\pm$ 0,173
MTCD;0,2;linear;10;99,635 $\pm$ 0,09
MTCD;0,8;rbf;10;99,635 $\pm$ 0,173
MTCD;0,8;rbf;100;99,635 $\pm$ 0,173
MTCD;0,6;rbf;100;99,635 $\pm$ 0,173
MTCD;0,8;rbf;100;99,635 $\pm$ 0,308
MTCD;0,6;rbf;100;99,635 $\pm$ 0,308
MTCD;0,6;rbf;10;99,635 $\pm$ 0,308
MTCD;0,8;rbf;10;99,635 $\pm$ 0,308
MTCD;0,4;rbf;10;99,635 $\pm$ 0,308
MTCD;0,4;rbf;100;99,635 $\pm$ 0,308
MTCD;N/A;rbf;100;99,635 $\pm$ 0,271
MTCD;N/A;rbf;10;99,635 $\pm$ 0,271
MTCD;0,6;rbf;10;99,635 $\pm$ 0,227
MTCD;0,6;rbf;100;99,635 $\pm$ 0,227
MTCD;0,4;linear;1;99,635 $\pm$ 0,308
MTCD;0,4;linear;1;99,635 $\pm$ 0,426
MTCD;0,2;linear;1;99,635 $\pm$ 0,271
MTCD;N/A;rbf;100;99,635 $\pm$ 0,271
MTCD;N/A;rbf;10;99,635 $\pm$ 0,271
MTCD;0,2;linear;1;99,635 $\pm$ 0,271
MTCD;0,6;linear;1;99,635 $\pm$ 0,227
MTCD;N/A;linear;10;99,635 $\pm$ 0,227
MTCD;N/A;linear;100;99,635 $\pm$ 0,227
MTCD;0,4;linear;1;99,583 $\pm$ 0,295
MTCD;0,2;linear;100;99,583 $\pm$ 0,255
MTCD;0,2;linear;10;99,583 $\pm$ 0,255
MTCD;0,8;rbf;100;99,583 $\pm$ 0,329
MTCD;0,8;rbf;10;99,583 $\pm$ 0,329
MTCD;0,4;rbf;10;99,583 $\pm$ 0,147
MTCD;0,4;rbf;100;99,583 $\pm$ 0,147
