Fitur;Ukuran;Bit;PCA;Akurasi
MTCD+BSIF;15x15;9;0,2;100
MTCD+BSIF;15x15;9;0,4;100
MTCD+BSIF;15x15;9;0,8;100
MTCD+BSIF;15x15;9;N/A;100
MTCD+BSIF;15x15;9;0,6;100
MTCD+BSIF;13x13;9;0,2;100
MTCD+BSIF;13x13;9;0,4;100
MTCD+BSIF;13x13;9;N/A;100
MTCD+BSIF;13x13;9;0,6;100
MTCD+BSIF;13x13;9;0,8;100
MTCD+BSIF;17x17;8;0,2;100
MTCD+BSIF;17x17;8;0,4;100
MTCD+BSIF;17x17;8;0,6;100
MTCD+BSIF;17x17;8;0,8;100
MTCD+BSIF;17x17;8;N/A;100
MTCD+BSIF;15x15;8;0,6;100
MTCD+BSIF;15x15;8;0,8;100
MTCD+BSIF;15x15;8;N/A;100
MTCD+BSIF;17x17;6;0,4;100
MTCD+BSIF;17x17;6;0,2;100
MTCD+BSIF;13x13;6;0,6;100
MTCD+BSIF;13x13;6;0,8;100
MTCD+BSIF;13x13;6;N/A;100
MTCD+BSIF;17x17;12;0,4;100
MTCD+BSIF;17x17;12;0,8;100
MTCD+BSIF;17x17;12;N/A;100
MTCD+BSIF;17x17;12;0,6;100
MTCD+BSIF;15x15;12;0,4;100
MTCD+BSIF;15x15;12;N/A;100
MTCD+BSIF;15x15;12;0,6;100
MTCD+BSIF;15x15;12;0,8;100
MTCD+BSIF;17x17;11;0,4;100
MTCD+BSIF;17x17;11;0,6;100
MTCD+BSIF;17x17;11;0,8;100
MTCD+BSIF;17x17;11;N/A;100
MTCD+BSIF;15x15;11;0,4;100
MTCD+BSIF;15x15;11;0,8;100
MTCD+BSIF;15x15;11;N/A;100
MTCD+BSIF;15x15;11;0,6;100
MTCD+BSIF;13x13;10;0,2;100
MTCD+BSIF;13x13;10;0,4;100
MTCD+BSIF;13x13;10;N/A;100
MTCD+BSIF;13x13;10;0,6;100
MTCD+BSIF;13x13;10;0,8;100
MTCD+BSIF;15x15;8;0,4;99,583
MTCD+BSIF;13x13;8;0,6;99,583
MTCD+BSIF;13x13;8;0,8;99,583
MTCD+BSIF;13x13;8;0,4;99,583
MTCD+BSIF;13x13;8;N/A;99,583
MTCD+BSIF;17x17;7;0,6;99,583
MTCD+BSIF;17x17;7;0,4;99,583
MTCD+BSIF;17x17;7;N/A;99,583
MTCD+BSIF;17x17;7;0,8;99,583
MTCD+BSIF;15x15;7;0,2;99,583
MTCD+BSIF;15x15;7;0,6;99,583
MTCD+BSIF;15x15;7;N/A;99,583
MTCD+BSIF;15x15;7;0,8;99,583
MTCD+BSIF;15x15;7;0,4;99,583
MTCD+BSIF;13x13;7;0,6;99,583
MTCD+BSIF;13x13;7;0,8;99,583
MTCD+BSIF;13x13;7;0,4;99,583
MTCD+BSIF;13x13;7;N/A;99,583
MTCD+BSIF;17x17;6;0,6;99,583
MTCD+BSIF;17x17;6;N/A;99,583
MTCD+BSIF;17x17;6;0,8;99,583
MTCD+BSIF;15x15;6;0,4;99,583
MTCD+BSIF;15x15;6;N/A;99,583
MTCD+BSIF;15x15;6;0,8;99,583
MTCD+BSIF;15x15;6;0,6;99,583
MTCD+BSIF;13x13;6;0,4;99,583
MTCD+BSIF;13x13;5;0,8;99,583
MTCD+BSIF;13x13;5;0,6;99,583
MTCD+BSIF;13x13;5;0,4;99,583
MTCD+BSIF;13x13;5;N/A;99,583
MTCD+BSIF;17x17;10;0,4;99,583
MTCD+BSIF;17x17;9;0,8;99,167
MTCD+BSIF;17x17;9;N/A;99,167
MTCD+BSIF;17x17;9;0,4;99,167
MTCD+BSIF;17x17;9;0,6;99,167
MTCD+BSIF;15x15;8;0,2;99,167
MTCD+BSIF;17x17;7;0,2;99,167
MTCD+BSIF;13x13;7;0,2;99,167
MTCD+BSIF;15x15;6;0,2;99,167
MTCD+BSIF;13x13;6;0,2;99,167
MTCD+BSIF;15x15;5;0,8;99,167
MTCD+BSIF;15x15;5;0,4;99,167
MTCD+BSIF;15x15;5;0,6;99,167
MTCD+BSIF;15x15;5;0,2;99,167
MTCD+BSIF;15x15;5;N/A;99,167
MTCD+BSIF;17x17;12;0,2;99,167
MTCD+BSIF;17x17;11;0,2;99,167
MTCD+BSIF;15x15;11;0,2;99,167
MTCD+BSIF;17x17;10;0,8;99,167
MTCD+BSIF;17x17;10;N/A;99,167
MTCD+BSIF;17x17;10;0,6;99,167
MTCD+BSIF;15x15;10;0,2;99,167
MTCD+BSIF;15x15;10;N/A;99,167
MTCD+BSIF;15x15;10;0,8;99,167
MTCD+BSIF;11x11;10;0,4;99,167
MTCD+BSIF;11x11;10;0,6;99,167
MTCD+BSIF;11x11;10;N/A;99,167
MTCD+BSIF;11x11;10;0,8;99,167
MTCD+BSIF;17x17;9;0,2;98,75
MTCD+BSIF;13x13;8;0,2;98,75
MTCD+BSIF;17x17;5;0,4;98,75
MTCD+BSIF;13x13;5;0,2;98,75
MTCD+BSIF;13x13;11;0,6;98,75
MTCD+BSIF;13x13;11;0,8;98,75
MTCD+BSIF;13x13;11;0,4;98,75
MTCD+BSIF;13x13;11;0,2;98,75
MTCD+BSIF;13x13;11;N/A;98,75
MTCD+BSIF;17x17;10;0,2;98,75
MTCD+BSIF;15x15;10;0,6;98,75
MTCD+BSIF;15x15;10;0,4;98,75
MTCD+BSIF;9x9;9;0,2;98,333
MTCD+BSIF;9x9;9;0,6;98,333
MTCD+BSIF;17x17;5;N/A;98,333
MTCD+BSIF;17x17;5;0,2;98,333
