Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
BSIF+MTCD;7x7;12;N/A;93,75;92,408
BSIF+MTCD;7x7;12;0,6;93,75;92,408
BSIF+MTCD;7x7;12;0,8;93,75;92,408
BSIF+MTCD;7x7;8;N/A;92,917;92,313
BSIF+MTCD;7x7;8;0,8;92,917;92,313
BSIF+MTCD;5x5;9;0,6;94,167;92,296
BSIF+MTCD;5x5;9;0,8;94,167;92,296
BSIF+MTCD;5x5;9;N/A;94,167;92,296
BSIF+MTCD;5x5;9;0,4;94,167;92,296
BSIF+MTCD;5x5;6;0,2;93,75;92,259
BSIF+MTCD;7x7;7;0,2;93,333;91,975
BSIF+MTCD;5x5;9;0,2;93,75;91,873
BSIF+MTCD;7x7;12;0,2;93,333;91,868
BSIF+MTCD;5x5;7;0,2;92,917;91,736
BSIF+MTCD;11x11;8;0,2;93,333;91,725
BSIF+MTCD;5x5;7;0,8;92,917;91,721
BSIF+MTCD;5x5;7;0,4;92,917;91,721
BSIF+MTCD;5x5;7;0,6;92,917;91,721
BSIF+MTCD;5x5;7;N/A;92,917;91,721
BSIF+MTCD;5x5;10;0,6;93,333;91,613
BSIF+MTCD;5x5;10;0,8;92,917;91,111
BSIF+MTCD;5x5;10;N/A;92,917;91,111
BSIF+MTCD;5x5;10;0,4;92,917;91,111
BSIF+MTCD;5x5;11;0,2;92,917;90,881
BSIF+MTCD;7x7;6;0,2;92,5;90,871
BSIF+MTCD;3x3;5;0,4;92,5;90,673
BSIF+MTCD;3x3;5;N/A;92,5;90,673
BSIF+MTCD;3x3;5;0,8;92,5;90,673
BSIF+MTCD;3x3;5;0,6;92,5;90,673
BSIF+MTCD;7x7;8;0,6;91,667;90,567
BSIF+MTCD;7x7;10;N/A;92,083;90,529
BSIF+MTCD;7x7;10;0,8;92,083;90,529
BSIF+MTCD;7x7;11;0,4;91,667;90,207
BSIF+MTCD;7x7;8;0,4;91,25;90,207
BSIF+MTCD;7x7;11;0,6;91,667;90,16
BSIF+MTCD;7x7;11;N/A;91,667;90,16
BSIF+MTCD;7x7;11;0,8;91,667;90,16
BSIF+MTCD;7x7;9;0,2;91,25;90,012
BSIF+MTCD;3x3;5;0,2;92,083;89,99
BSIF+MTCD;7x7;10;0,4;91,667;89,937
BSIF+MTCD;3x3;6;0,8;91,667;89,847
BSIF+MTCD;3x3;6;N/A;91,667;89,847
BSIF+MTCD;3x3;6;0,6;91,667;89,847
BSIF+MTCD;5x5;11;0,4;92,083;89,741
BSIF+MTCD;5x5;11;0,6;92,083;89,741
BSIF+MTCD;5x5;11;N/A;92,083;89,741
BSIF+MTCD;5x5;11;0,8;92,083;89,741
BSIF+MTCD;7x7;11;0,2;90,833;89,605
BSIF+MTCD;5x5;10;0,2;91,25;89,587
BSIF+MTCD;7x7;10;0,6;91,25;89,159
BSIF+MTCD;7x7;8;0,2;90,417;89,055
BSIF+MTCD;5x5;12;0,6;91,25;88,93
BSIF+MTCD;5x5;12;N/A;91,25;88,93
BSIF+MTCD;3x3;6;0,4;90,833;88,914
BSIF+MTCD;5x5;12;0,8;90,833;88,507
BSIF+MTCD;5x5;12;0,4;90,833;88,423
BSIF+MTCD;3x3;6;0,2;90;88,292
BSIF+MTCD;7x7;10;0,2;90;87,927
BSIF+MTCD;5x5;12;0,2;90;87,344
BSIF+MTCD;3x3;8;0,6;82,083;78,785
BSIF+MTCD;3x3;8;N/A;82,083;78,785
BSIF+MTCD;3x3;8;0,8;82,083;78,785
BSIF+MTCD;3x3;8;0,4;81,667;78,283
BSIF+MTCD;3x3;8;0,2;81,667;78,005
BSIF+MTCD;3x3;7;0,2;80,833;76,523
BSIF+MTCD;3x3;7;0,8;80,833;76,192
BSIF+MTCD;3x3;7;N/A;80,833;76,192
BSIF+MTCD;3x3;7;0,6;80,417;75,875
BSIF+MTCD;3x3;7;0,4;80,417;75,875
