Fitur;Ukuran;Bit;PCA;Akurasi;Macro F1-score
BSIF+MTCD;15x15;9;0,8;100;100
BSIF+MTCD;15x15;9;N/A;100;100
BSIF+MTCD;15x15;9;0,2;100;100
BSIF+MTCD;15x15;9;0,4;100;100
BSIF+MTCD;15x15;9;0,6;100;100
BSIF+MTCD;13x13;9;0,4;100;100
BSIF+MTCD;13x13;9;N/A;100;100
BSIF+MTCD;13x13;9;0,6;100;100
BSIF+MTCD;13x13;9;0,8;100;100
BSIF+MTCD;17x17;8;0,4;100;100
BSIF+MTCD;17x17;8;0,6;100;100
BSIF+MTCD;17x17;8;0,8;100;100
BSIF+MTCD;17x17;8;N/A;100;100
BSIF+MTCD;15x15;8;0,6;100;100
BSIF+MTCD;15x15;8;0,8;100;100
BSIF+MTCD;15x15;8;N/A;100;100
BSIF+MTCD;17x17;7;0,4;100;100
BSIF+MTCD;17x17;6;0,6;100;100
BSIF+MTCD;13x13;6;N/A;100;100
BSIF+MTCD;13x13;6;0,8;100;100
BSIF+MTCD;17x17;12;0,4;100;100
BSIF+MTCD;17x17;12;N/A;100;100
BSIF+MTCD;17x17;12;0,8;100;100
BSIF+MTCD;17x17;12;0,6;100;100
BSIF+MTCD;15x15;12;0,8;100;100
BSIF+MTCD;15x15;12;0,6;100;100
BSIF+MTCD;15x15;12;0,4;100;100
BSIF+MTCD;15x15;12;N/A;100;100
BSIF+MTCD;17x17;11;0,8;100;100
BSIF+MTCD;17x17;11;0,6;100;100
BSIF+MTCD;17x17;11;N/A;100;100
BSIF+MTCD;15x15;11;0,8;100;100
BSIF+MTCD;15x15;11;0,6;100;100
BSIF+MTCD;15x15;11;N/A;100;100
BSIF+MTCD;15x15;11;0,4;100;100
BSIF+MTCD;13x13;10;0,4;100;100
BSIF+MTCD;13x13;10;0,2;100;100
BSIF+MTCD;13x13;10;N/A;100;100
BSIF+MTCD;13x13;10;0,8;100;100
BSIF+MTCD;13x13;10;0,6;100;100
BSIF+MTCD;13x13;9;0,2;99,583;99,577
BSIF+MTCD;17x17;8;0,2;99,583;99,577
BSIF+MTCD;15x15;8;0,4;99,583;99,577
BSIF+MTCD;13x13;8;0,6;99,583;99,577
BSIF+MTCD;13x13;8;N/A;99,583;99,577
BSIF+MTCD;13x13;8;0,8;99,583;99,577
BSIF+MTCD;17x17;7;0,6;99,583;99,577
BSIF+MTCD;17x17;7;N/A;99,583;99,577
BSIF+MTCD;17x17;7;0,8;99,583;99,577
BSIF+MTCD;15x15;7;0,4;99,583;99,577
BSIF+MTCD;15x15;7;N/A;99,583;99,577
BSIF+MTCD;15x15;7;0,8;99,583;99,577
BSIF+MTCD;15x15;7;0,6;99,583;99,577
BSIF+MTCD;15x15;7;0,2;99,583;99,577
BSIF+MTCD;13x13;7;0,4;99,583;99,577
BSIF+MTCD;13x13;7;0,6;99,583;99,577
BSIF+MTCD;13x13;7;0,8;99,583;99,577
BSIF+MTCD;13x13;7;N/A;99,583;99,577
BSIF+MTCD;17x17;6;N/A;99,583;99,577
BSIF+MTCD;17x17;6;0,4;99,583;99,577
BSIF+MTCD;17x17;6;0,8;99,583;99,577
BSIF+MTCD;15x15;6;0,2;99,583;99,577
BSIF+MTCD;15x15;6;N/A;99,583;99,577
BSIF+MTCD;15x15;6;0,8;99,583;99,577
BSIF+MTCD;15x15;6;0,6;99,583;99,577
BSIF+MTCD;15x15;6;0,4;99,583;99,577
BSIF+MTCD;13x13;6;0,6;99,583;99,577
BSIF+MTCD;13x13;6;0,4;99,583;99,577
BSIF+MTCD;13x13;5;0,4;99,583;99,577
BSIF+MTCD;13x13;5;0,8;99,583;99,577
BSIF+MTCD;13x13;5;0,6;99,583;99,577
BSIF+MTCD;13x13;5;N/A;99,583;99,577
BSIF+MTCD;17x17;12;0,2;99,583;99,577
BSIF+MTCD;17x17;11;0,4;99,583;99,577
BSIF+MTCD;15x15;11;0,2;99,583;99,577
BSIF+MTCD;17x17;10;0,4;99,583;99,577
BSIF+MTCD;13x13;8;0,4;99,167;99,153
BSIF+MTCD;15x15;12;0,2;99,167;99,153
BSIF+MTCD;11x11;10;0,6;99,167;99,153
BSIF+MTCD;11x11;10;0,8;99,167;99,153
BSIF+MTCD;11x11;10;N/A;99,167;99,153
BSIF+MTCD;17x17;9;0,4;99,167;99,111
BSIF+MTCD;17x17;9;0,8;99,167;99,111
BSIF+MTCD;17x17;9;N/A;99,167;99,111
BSIF+MTCD;17x17;9;0,6;99,167;99,111
BSIF+MTCD;15x15;8;0,2;99,167;99,111
BSIF+MTCD;17x17;7;0,2;99,167;99,111
BSIF+MTCD;13x13;7;0,2;99,167;99,111
BSIF+MTCD;17x17;6;0,2;99,167;99,111
BSIF+MTCD;15x15;5;0,6;99,167;99,111
BSIF+MTCD;15x15;5;N/A;99,167;99,111
BSIF+MTCD;15x15;5;0,4;99,167;99,111
BSIF+MTCD;15x15;5;0,2;99,167;99,111
BSIF+MTCD;15x15;5;0,8;99,167;99,111
BSIF+MTCD;13x13;5;0,2;99,167;99,111
BSIF+MTCD;17x17;10;0,6;99,167;99,111
BSIF+MTCD;17x17;10;0,8;99,167;99,111
BSIF+MTCD;17x17;10;N/A;99,167;99,111
BSIF+MTCD;15x15;10;0,8;99,167;99,074
BSIF+MTCD;15x15;10;N/A;99,167;99,074
BSIF+MTCD;11x11;10;0,4;98,75;98,767
BSIF+MTCD;9x9;9;0,2;98,75;98,688
BSIF+MTCD;13x13;11;0,4;98,75;98,688
BSIF+MTCD;13x13;11;0,6;98,75;98,688
BSIF+MTCD;13x13;11;N/A;98,75;98,688
BSIF+MTCD;13x13;11;0,8;98,75;98,688
BSIF+MTCD;15x15;10;0,4;98,75;98,688
BSIF+MTCD;15x15;10;0,6;98,75;98,688
BSIF+MTCD;17x17;5;0,8;98,75;98,545
BSIF+MTCD;17x17;5;0,6;98,75;98,545
BSIF+MTCD;17x17;10;0,2;98,75;98,545
BSIF+MTCD;13x13;12;0,4;98,333;98,329
BSIF+MTCD;13x13;12;0,6;98,333;98,329
BSIF+MTCD;13x13;12;N/A;98,333;98,329
BSIF+MTCD;13x13;12;0,8;98,333;98,329
BSIF+MTCD;13x13;6;0,2;98,333;98,307
BSIF+MTCD;9x9;9;0,6;98,333;98,265
BSIF+MTCD;9x9;10;0,4;98,333;98,122
BSIF+MTCD;13x13;8;0,2;97,917;97,921
BSIF+MTCD;11x11;9;0,8;97,917;97,804
BSIF+MTCD;11x11;9;0,6;97,917;97,804
BSIF+MTCD;11x11;9;N/A;97,917;97,804
BSIF+MTCD;17x17;9;0,2;98,333;97,778
BSIF+MTCD;17x17;5;0,4;98,333;97,778
BSIF+MTCD;17x17;5;N/A;98,333;97,778
BSIF+MTCD;9x9;10;0,2;97,917;97,706
BSIF+MTCD;9x9;9;0,4;97,917;97,699
BSIF+MTCD;9x9;9;N/A;97,917;97,699
BSIF+MTCD;9x9;9;0,8;97,917;97,699
BSIF+MTCD;7x7;5;N/A;97,917;97,699
BSIF+MTCD;7x7;5;0,6;97,917;97,699
BSIF+MTCD;7x7;5;0,8;97,917;97,699
BSIF+MTCD;13x13;12;0,2;97,917;97,699
