Fitur;Ukuran;Bit;PCA;Akurasi
BSIF+MTCD;5x5;5;N/A;95
BSIF+MTCD;5x5;5;0,8;95
BSIF+MTCD;9x9;11;0,2;95
BSIF+MTCD;9x9;11;0,4;95
BSIF+MTCD;7x7;9;0,4;94,583
BSIF+MTCD;7x7;7;0,6;94,583
BSIF+MTCD;7x7;7;0,8;94,583
BSIF+MTCD;7x7;7;N/A;94,583
BSIF+MTCD;9x9;6;0,2;94,583
BSIF+MTCD;7x7;6;0,2;94,583
BSIF+MTCD;11x11;6;0,2;94,583
BSIF+MTCD;5x5;5;0,6;94,583
BSIF+MTCD;7x7;12;0,4;94,583
BSIF+MTCD;5x5;9;N/A;94,167
BSIF+MTCD;5x5;9;0,4;94,167
BSIF+MTCD;5x5;9;0,8;94,167
BSIF+MTCD;5x5;9;0,6;94,167
BSIF+MTCD;7x7;7;0,4;94,167
BSIF+MTCD;7x7;7;0,2;94,167
BSIF+MTCD;5x5;6;0,6;94,167
BSIF+MTCD;5x5;6;0,4;94,167
BSIF+MTCD;5x5;6;0,8;94,167
BSIF+MTCD;5x5;6;N/A;94,167
BSIF+MTCD;5x5;5;0,4;94,167
BSIF+MTCD;7x7;9;0,6;93,75
BSIF+MTCD;7x7;9;0,8;93,75
BSIF+MTCD;7x7;9;N/A;93,75
BSIF+MTCD;11x11;8;0,2;93,75
BSIF+MTCD;5x5;6;0,2;93,75
BSIF+MTCD;5x5;5;0,2;93,75
BSIF+MTCD;7x7;12;0,8;93,75
BSIF+MTCD;7x7;12;0,6;93,75
BSIF+MTCD;7x7;12;N/A;93,75
BSIF+MTCD;7x7;9;0,2;93,333
BSIF+MTCD;5x5;9;0,2;93,333
BSIF+MTCD;5x5;7;0,2;93,333
BSIF+MTCD;5x5;10;0,6;93,333
BSIF+MTCD;5x5;10;0,4;93,333
BSIF+MTCD;7x7;8;0,8;92,917
BSIF+MTCD;7x7;8;N/A;92,917
BSIF+MTCD;5x5;7;0,4;92,917
BSIF+MTCD;5x5;7;N/A;92,917
BSIF+MTCD;5x5;7;0,8;92,917
BSIF+MTCD;5x5;7;0,6;92,917
BSIF+MTCD;5x5;11;0,2;92,917
BSIF+MTCD;5x5;10;0,8;92,917
BSIF+MTCD;5x5;10;N/A;92,917
BSIF+MTCD;3x3;5;0,8;92,5
BSIF+MTCD;3x3;5;0,4;92,5
BSIF+MTCD;3x3;5;0,6;92,5
BSIF+MTCD;3x3;5;N/A;92,5
BSIF+MTCD;7x7;12;0,2;92,5
BSIF+MTCD;7x7;8;0,4;92,083
BSIF+MTCD;7x7;8;0,2;92,083
BSIF+MTCD;3x3;5;0,2;92,083
BSIF+MTCD;5x5;11;0,6;92,083
BSIF+MTCD;5x5;11;0,8;92,083
BSIF+MTCD;5x5;11;N/A;92,083
BSIF+MTCD;7x7;10;0,8;92,083
BSIF+MTCD;7x7;10;N/A;92,083
BSIF+MTCD;7x7;10;0,6;92,083
BSIF+MTCD;7x7;8;0,6;91,667
BSIF+MTCD;3x3;6;0,6;91,667
BSIF+MTCD;3x3;6;0,8;91,667
BSIF+MTCD;3x3;6;N/A;91,667
BSIF+MTCD;7x7;11;0,6;91,667
BSIF+MTCD;7x7;11;0,4;91,667
BSIF+MTCD;7x7;11;0,8;91,667
BSIF+MTCD;7x7;11;N/A;91,667
BSIF+MTCD;5x5;11;0,4;91,667
BSIF+MTCD;5x5;10;0,2;91,667
BSIF+MTCD;5x5;12;0,8;91,25
BSIF+MTCD;5x5;12;N/A;91,25
BSIF+MTCD;5x5;12;0,6;91,25
BSIF+MTCD;7x7;10;0,2;91,25
BSIF+MTCD;7x7;10;0,4;91,25
BSIF+MTCD;3x3;6;0,4;90,833
BSIF+MTCD;3x3;6;0,2;90,833
BSIF+MTCD;5x5;12;0,4;90,833
BSIF+MTCD;5x5;12;0,2;90
