Fitur;Ukuran;Bit;PCA;Kernel;C;Akurasi
BSIF;17x17;7;0,8;rbf;1;98,802 $\pm$ 0,227
BSIF;17x17;8;0,8;rbf;10;98,802 $\pm$ 0,271
BSIF;17x17;8;0,8;rbf;100;98,802 $\pm$ 0,271
BSIF;15x15;10;0,6;linear;100;98,802 $\pm$ 0,342
BSIF;15x15;10;0,6;linear;10;98,802 $\pm$ 0,342
BSIF;17x17;8;N/A;rbf;10;98,802 $\pm$ 0,308
BSIF;17x17;8;N/A;rbf;100;98,802 $\pm$ 0,308
BSIF;15x15;10;0,8;rbf;1;98,802 $\pm$ 0,4
BSIF;17x17;7;N/A;linear;1;98,802 $\pm$ 0,173
BSIF;17x17;7;N/A;rbf;1;98,802 $\pm$ 0,271
BSIF;17x17;12;0,8;linear;10;98,75 $\pm$ 0,765
BSIF;17x17;12;0,8;linear;100;98,75 $\pm$ 0,765
BSIF;17x17;12;0,8;rbf;1;98,75 $\pm$ 0,846
BSIF;17x17;9;0,4;rbf;100;98,75 $\pm$ 0,737
BSIF;17x17;9;0,4;rbf;10;98,75 $\pm$ 0,737
BSIF;15x15;10;0,4;rbf;100;98,75 $\pm$ 0,466
BSIF;15x15;10;0,4;rbf;10;98,75 $\pm$ 0,466
BSIF;17x17;7;0,8;linear;1;98,75 $\pm$ 0,255
BSIF;15x15;10;N/A;rbf;1;98,75 $\pm$ 0,442
BSIF;15x15;10;0,6;rbf;1;98,75 $\pm$ 0,39
BSIF;17x17;8;0,8;linear;100;98,75 $\pm$ 0,39
BSIF;17x17;8;0,8;linear;10;98,75 $\pm$ 0,39
BSIF;17x17;12;0,6;rbf;1;98,698 $\pm$ 0,864
BSIF;17x17;12;0,4;rbf;10;98,698 $\pm$ 0,665
BSIF;17x17;12;0,4;rbf;100;98,698 $\pm$ 0,665
BSIF;17x17;12;N/A;linear;10;98,698 $\pm$ 0,742
BSIF;17x17;12;N/A;linear;100;98,698 $\pm$ 0,742
BSIF;17x17;9;N/A;poly;1;98,698 $\pm$ 0,648
BSIF;17x17;9;N/A;poly;100;98,698 $\pm$ 0,648
BSIF;17x17;9;N/A;poly;10;98,698 $\pm$ 0,648
BSIF;15x15;10;N/A;poly;10;98,698 $\pm$ 0,539
BSIF;15x15;10;N/A;poly;1;98,698 $\pm$ 0,539
BSIF;15x15;10;N/A;poly;100;98,698 $\pm$ 0,539
BSIF;17x17;7;0,6;rbf;1;98,698 $\pm$ 0,09
BSIF;17x17;11;0,4;linear;10;98,698 $\pm$ 0,372
BSIF;17x17;11;0,4;linear;100;98,698 $\pm$ 0,372
BSIF;17x17;8;0,6;linear;10;98,698 $\pm$ 0,475
BSIF;17x17;8;0,6;linear;100;98,698 $\pm$ 0,475
BSIF;17x17;8;N/A;linear;10;98,698 $\pm$ 0,342
BSIF;17x17;8;N/A;linear;100;98,698 $\pm$ 0,342
BSIF;17x17;12;N/A;rbf;1;98,646 $\pm$ 0,938
BSIF;17x17;12;0,8;linear;1;98,646 $\pm$ 0,8
BSIF;17x17;12;0,6;linear;10;98,646 $\pm$ 0,865
BSIF;17x17;12;0,6;linear;100;98,646 $\pm$ 0,865
BSIF;15x15;10;0,4;linear;1;98,646 $\pm$ 0,561
BSIF;17x17;7;0,6;linear;1;98,646 $\pm$ 0,376
BSIF;17x17;12;N/A;linear;1;98,594 $\pm$ 0,838
BSIF;15x15;10;0,4;rbf;1;98,594 $\pm$ 0,539
BSIF;17x17;8;0,6;rbf;10;98,542 $\pm$ 0,208
BSIF;17x17;8;0,6;rbf;100;98,542 $\pm$ 0,208
BSIF;17x17;7;0,8;rbf;10;98,542 $\pm$ 0,208
BSIF;17x17;7;0,8;rbf;100;98,542 $\pm$ 0,208
BSIF;17x17;7;N/A;linear;100;98,542 $\pm$ 0,531
BSIF;17x17;7;N/A;linear;10;98,542 $\pm$ 0,531
BSIF;15x15;7;N/A;rbf;100;98,542 $\pm$ 0,625
BSIF;15x15;7;N/A;rbf;10;98,542 $\pm$ 0,625
BSIF;17x17;12;0,6;linear;1;98,49 $\pm$ 0,936
BSIF;17x17;7;N/A;rbf;10;98,49 $\pm$ 0,271
BSIF;17x17;7;N/A;rbf;100;98,49 $\pm$ 0,271
BSIF;17x17;12;0,4;rbf;1;98,438 $\pm$ 0,994
BSIF;17x17;9;0,4;linear;10;98,438 $\pm$ 0,616
BSIF;17x17;9;0,4;linear;100;98,438 $\pm$ 0,616
BSIF;17x17;9;0,4;linear;1;98,438 $\pm$ 0,699
BSIF;15x15;7;0,8;rbf;10;98,438 $\pm$ 0,561
BSIF;15x15;7;0,8;rbf;100;98,438 $\pm$ 0,561
BSIF;17x17;12;N/A;poly;100;98,385 $\pm$ 0,697
BSIF;17x17;12;N/A;poly;1;98,385 $\pm$ 0,697
BSIF;17x17;12;N/A;poly;10;98,385 $\pm$ 0,697
BSIF;15x15;8;N/A;rbf;100;98,385 $\pm$ 0,426
BSIF;15x15;8;N/A;rbf;10;98,385 $\pm$ 0,426
BSIF;15x15;10;0,4;linear;100;98,385 $\pm$ 0,518
BSIF;15x15;10;0,4;linear;10;98,385 $\pm$ 0,518
BSIF;17x17;7;0,6;rbf;10;98,385 $\pm$ 0,4
BSIF;17x17;7;0,6;rbf;100;98,385 $\pm$ 0,4
BSIF;17x17;7;0,8;linear;100;98,385 $\pm$ 0,578
BSIF;17x17;7;0,8;linear;10;98,385 $\pm$ 0,578
BSIF;17x17;8;N/A;poly;1;98,385 $\pm$ 0,308
BSIF;17x17;8;N/A;poly;100;98,385 $\pm$ 0,308
BSIF;17x17;8;N/A;poly;10;98,385 $\pm$ 0,308
BSIF;15x15;7;0,6;rbf;100;98,385 $\pm$ 0,648
BSIF;15x15;7;0,6;rbf;10;98,385 $\pm$ 0,648
BSIF;17x17;12;0,4;linear;1;98,333 $\pm$ 1,031
BSIF;17x17;12;0,4;linear;10;98,333 $\pm$ 0,846
BSIF;17x17;12;0,4;linear;100;98,333 $\pm$ 0,846
BSIF;17x17;10;0,2;linear;1;98,333 $\pm$ 0,39
BSIF;15x15;9;0,8;rbf;1;98,333 $\pm$ 0,489
BSIF;15x15;8;0,8;rbf;10;98,281 $\pm$ 0,342
BSIF;15x15;8;0,8;rbf;100;98,281 $\pm$ 0,342
BSIF;17x17;10;0,2;rbf;1;98,281 $\pm$ 0,596
BSIF;17x17;9;0,4;rbf;1;98,281 $\pm$ 0,864
BSIF;17x17;8;N/A;linear;1;98,281 $\pm$ 0,4
BSIF;17x17;8;N/A;rbf;1;98,281 $\pm$ 0,271
BSIF;15x15;11;0,8;rbf;100;98,281 $\pm$ 0,539
BSIF;15x15;11;0,8;rbf;10;98,281 $\pm$ 0,539
BSIF;17x17;7;N/A;poly;10;98,229 $\pm$ 0,561
BSIF;17x17;7;N/A;poly;100;98,229 $\pm$ 0,561
BSIF;17x17;7;N/A;poly;1;98,229 $\pm$ 0,561
BSIF;17x17;10;0,2;rbf;100;98,229 $\pm$ 0,561
BSIF;17x17;10;0,2;rbf;10;98,229 $\pm$ 0,561
BSIF;15x15;11;N/A;linear;100;98,229 $\pm$ 0,786
BSIF;15x15;11;N/A;linear;10;98,229 $\pm$ 0,786
BSIF;15x15;9;N/A;rbf;1;98,229 $\pm$ 0,561
BSIF;15x15;9;N/A;rbf;100;98,177 $\pm$ 0,539
BSIF;15x15;9;N/A;rbf;10;98,177 $\pm$ 0,539
BSIF;17x17;8;0,8;linear;1;98,177 $\pm$ 0,451
BSIF;15x15;11;N/A;rbf;10;98,177 $\pm$ 0,559
BSIF;15x15;11;N/A;rbf;100;98,177 $\pm$ 0,559
BSIF;17x17;7;0,6;linear;10;98,177 $\pm$ 0,451
BSIF;17x17;7;0,6;linear;100;98,177 $\pm$ 0,451
BSIF;15x15;9;0,6;rbf;1;98,177 $\pm$ 0,559
BSIF;15x15;11;0,8;linear;10;98,177 $\pm$ 0,771
BSIF;15x15;11;0,8;linear;100;98,177 $\pm$ 0,771
BSIF;17x17;8;0,8;rbf;1;98,177 $\pm$ 0,09
BSIF;17x17;7;0,4;rbf;1;98,177 $\pm$ 0,4
BSIF;15x15;8;0,6;rbf;100;98,125 $\pm$ 0,489
BSIF;15x15;8;0,6;rbf;10;98,125 $\pm$ 0,489
BSIF;15x15;11;N/A;linear;1;98,125 $\pm$ 0,51
BSIF;15x15;11;0,6;rbf;10;98,125 $\pm$ 0,51
BSIF;15x15;11;0,6;rbf;100;98,125 $\pm$ 0,51
BSIF;15x15;9;0,8;rbf;100;98,125 $\pm$ 0,39
BSIF;15x15;9;0,8;rbf;10;98,125 $\pm$ 0,39
BSIF;17x17;8;0,4;rbf;10;98,125 $\pm$ 0,255
BSIF;17x17;8;0,4;rbf;100;98,125 $\pm$ 0,255
BSIF;15x15;11;0,8;linear;1;98,073 $\pm$ 0,475
BSIF;17x17;8;0,6;rbf;1;98,073 $\pm$ 0,173
BSIF;15x15;7;N/A;rbf;1;98,073 $\pm$ 0,727
BSIF;17x17;8;0,6;linear;1;98,073 $\pm$ 0,372
BSIF;15x15;7;0,8;rbf;1;98,073 $\pm$ 0,913
BSIF;17x17;6;0,8;rbf;1;98,021 $\pm$ 0,454
BSIF;15x15;7;N/A;linear;1;98,021 $\pm$ 0,84
BSIF;17x17;6;0,6;rbf;1;97,969 $\pm$ 0,4
BSIF;15x15;11;0,8;rbf;1;97,969 $\pm$ 0,559
BSIF;15x15;11;0,6;rbf;1;97,969 $\pm$ 0,559
BSIF;15x15;9;0,6;rbf;10;97,969 $\pm$ 0,308
BSIF;15x15;9;0,6;rbf;100;97,969 $\pm$ 0,308
BSIF;15x15;11;0,6;linear;1;97,969 $\pm$ 0,518
BSIF;15x15;7;N/A;linear;100;97,969 $\pm$ 0,785
BSIF;15x15;7;N/A;linear;10;97,969 $\pm$ 0,785
BSIF;17x17;6;N/A;rbf;1;97,917 $\pm$ 0,78
BSIF;15x15;8;N/A;linear;100;97,917 $\pm$ 0,295
BSIF;15x15;8;N/A;linear;10;97,917 $\pm$ 0,295
BSIF;17x17;7;0,4;linear;1;97,917 $\pm$ 0,675
BSIF;15x15;7;0,8;linear;1;97,917 $\pm$ 0,82
BSIF;15x15;11;N/A;rbf;1;97,865 $\pm$ 0,614
BSIF;15x15;8;0,8;rbf;1;97,812 $\pm$ 0,634
BSIF;15x15;8;N/A;rbf;1;97,812 $\pm$ 0,8
BSIF;15x15;8;0,8;linear;1;97,812 $\pm$ 0,454
BSIF;15x15;8;N/A;linear;1;97,812 $\pm$ 0,376
BSIF;15x15;8;0,8;linear;10;97,812 $\pm$ 0,429
BSIF;15x15;8;0,8;linear;100;97,812 $\pm$ 0,429
BSIF;17x17;6;N/A;rbf;10;97,812 $\pm$ 0,561
BSIF;17x17;6;N/A;rbf;100;97,812 $\pm$ 0,561
BSIF;17x17;6;0,8;rbf;10;97,812 $\pm$ 0,312
BSIF;17x17;6;0,8;rbf;100;97,812 $\pm$ 0,312
BSIF;15x15;9;0,4;rbf;1;97,812 $\pm$ 0,786
BSIF;15x15;7;0,6;linear;1;97,812 $\pm$ 0,865
BSIF;15x15;7;0,8;linear;10;97,812 $\pm$ 0,758
BSIF;15x15;7;0,8;linear;100;97,812 $\pm$ 0,758
BSIF;15x15;7;0,6;rbf;1;97,812 $\pm$ 0,902
BSIF;15x15;9;N/A;linear;1;97,76 $\pm$ 0,681
BSIF;15x15;9;0,4;rbf;10;97,76 $\pm$ 0,4
BSIF;15x15;9;0,4;rbf;100;97,76 $\pm$ 0,4
BSIF;15x15;12;0,8;linear;1;97,76 $\pm$ 1,476
BSIF;15x15;12;N/A;linear;10;97,76 $\pm$ 1,27
BSIF;15x15;12;N/A;linear;100;97,76 $\pm$ 1,27
BSIF;15x15;9;0,8;linear;1;97,708 $\pm$ 0,642
BSIF;17x17;10;0,2;linear;10;97,708 $\pm$ 0,966
BSIF;15x15;7;0,4;rbf;10;97,708 $\pm$ 0,489
BSIF;15x15;7;0,4;rbf;100;97,708 $\pm$ 0,489
BSIF;15x15;11;0,6;linear;100;97,708 $\pm$ 0,82
BSIF;15x15;11;0,6;linear;10;97,708 $\pm$ 0,82
BSIF;17x17;7;0,4;rbf;100;97,708 $\pm$ 0,642
BSIF;17x17;7;0,4;rbf;10;97,708 $\pm$ 0,642
BSIF;15x15;12;N/A;linear;1;97,708 $\pm$ 1,473
BSIF;15x15;12;0,8;linear;100;97,708 $\pm$ 1,276
BSIF;15x15;12;0,8;linear;10;97,708 $\pm$ 1,276
BSIF;17x17;6;N/A;linear;1;97,656 $\pm$ 0,825
